ls,128061,0.142341
ls,128044,0.322223
ls,128033,0.463922
ls,127863,0.525115
ls,127860,0.679559
ls,127857,0.857061
ls,127534,1.51678
ls,127496,3.42583
ls,127485,3.77123
ls,127310,4.47645
ls,127272,5.00588
ls,127116,6.00899
ls,127082,6.28867
ls,126820,6.69036
ls,126746,9.04941
ls,126633,11.4494
ls,126551,14.4398
ls,126537,18.6171
ls,126490,19.271
ls,126479,20.008
ls,126437,22.7807
ls,126284,23.2312
ls,126271,25.7674
ls,126038,29.6952
ls,126023,35.4165
ls,126020,36.7918
ls,126016,38.4539
ls,125884,39.9475
ls,125865,43.1266
ls,125734,45.0808
ls,125658,48.1105
ls,125631,53.8617
ls,125618,55.3893
ls,125608,56.1099
ls,125579,59.6004
ls,125552,65.7127
ls,125545,66.3391
ls,125515,69.5839
ls,125501,70.1063
ls,125491,76.5211
ls,125487,77.2587
ls,125465,77.7636
ls,125461,78.1483
ls,125451,80.9317
ls,125432,82.6192
ls,125417,86.9501
ls,125411,87.8704
ls,125406,88.5968
ls,125392,88.781
ls,125387,89.3966
ls,125349,90.0449
ls,124912,141.168
ls,124910,145.529
ls,124906,151.259
ls,124904,151.832
ls,124892,152.577
ls,124875,152.621
ls,124865,155.073
ls,124862,156.732
ls,124858,158.275
ls,124856,158.348
ls,124855,159.544
ls,124854,159.562
ls,124853,159.853
ls,124832,161.174
ls,124824,161.761
ls,124819,165.062
ls,124817,166.529
ls,124809,167.417
ls,124790,169.421
ls,124784,172.636
ls,124783,173.651
ls,124778,174.723
ls,124777,176.101
ls,124773,179.411
ls,124772,179.812
ls,124771,181.138
ls,124767,181.362
ls,124760,181.88
ls,124759,185.005
ls,124756,188.273
ls,124752,190.348
ls,124750,193.939
ls,124723,226.143
ls,124722,227.808
ls,124721,227.88
ls,124714,228.564
ls,124712,233.181
ls,124703,233.405
ls,124701,265.327
ls,124699,269.277
ls,124696,279.995
ls,124694,282.271
ls,124687,304.677
ls,124671,306.866
ls,124668,307.69
ls,124665,312.153
ls,124659,312.537
ls,124657,319.017
ls,124647,319.608
ls,124643,319.84
ls,124625,320.367
ls,124621,321.743
ls,124620,323.516
ls,124613,325.035
ls,124610,325.854
ls,124609,325.858
ls,124608,333.46
ls,124607,349.025
ls,124606,371.921
ls,124603,391.122
ls,124583,503.709
ls,124578,610.129
ls,124572,611.299
ls,124568,637.658
ls,127770,787.563
ls,127723,788.709
ls,127562,789.635
ls,127501,789.77
ls,127479,790.067
ls,127113,790.624
ls,127085,791.711
ls,127072,795.365
ls,127052,796.328
ls,127038,796.519
ls,126926,797.418
ls,126913,797.638
ls,126597,798.086
ls,126549,799.566
ls,126545,800.588
ls,126507,806.87
ls,126440,807.702
ls,126316,814.59
ls,126260,828.258
ls,126204,829.353
ls,126183,830.111
ls,126145,830.673
ls,124985,893.099
ls,124971,893.148
