id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_etaMax0.020_stoppingTime86400.00,252122.0,ails2_etaMax0.020_stoppingTime86400.00,251833.0,289.0,7204.346153497696
2,ails2_etaMax0.020_stoppingTime86400.00,251833.0,ails2_etaMax0.005_stoppingTime86400.00,251592.0,241.0,10808.09272480011
3,ails2_etaMax0.005_stoppingTime86400.00,251592.0,ails2_eoh_acc_large,251492.0,100.0,14412.099037408829
4,ails2_eoh_acc_large,251492.0,ails2_eoh_acc_large,251462.0,30.0,18015.046726226807
5,ails2_eoh_acc_large,251462.0,ails2_eoh_acc_large,251415.0,47.0,21617.538839817047
6,ails2_eoh_acc_large,251415.0,ails2_eoh_acc,251378.0,37.0,25220.71504187584
7,ails2_eoh_acc,251378.0,ails2_eoh_acc_large,251309.0,69.0,28822.233404159546
8,ails2_eoh_acc_large,251309.0,ails2_eoh_omega2,251295.0,14.0,32424.376710176468
9,ails2_eoh_omega2,251295.0,ails2_eoh_acc,251226.0,69.0,36028.18318128586
10,ails2_eoh_acc,251226.0,ails2_etaMax0.005_stoppingTime86400.00,251209.0,17.0,39630.498629808426
11,ails2_etaMax0.005_stoppingTime86400.00,251209.0,ails2_etaMax1.000_stoppingTime86400.00,251053.0,156.0,43232.9192173481
12,ails2_etaMax1.000_stoppingTime86400.00,251053.0,ails2_eoh_acc,250484.0,569.0,46835.967695236206
13,ails2_eoh_acc,250484.0,ails2_eoh_acc_large,250456.0,28.0,50437.74191784859
14,ails2_eoh_acc_large,250456.0,ails2_eoh_acc,250438.0,18.0,54040.527296066284
15,ails2_eoh_acc,250438.0,ails2_eoh_acc,250432.0,6.0,57642.90873289108
16,ails2_eoh_acc,250432.0,ails2_eoh_acc,250429.0,3.0,61245.37126708031
17,ails2_eoh_acc,250429.0,ails2_etaMax1.000_stoppingTime86400.00,250413.0,16.0,64846.74291729927
18,ails2_etaMax1.000_stoppingTime86400.00,250413.0,ails2_eoh_acc_large,250314.0,99.0,68448.55594396591
19,ails2_eoh_acc_large,250314.0,ails2_etaMax1.000_stoppingTime86400.00,250284.0,30.0,72049.88530659676
20,ails2_etaMax1.000_stoppingTime86400.00,250284.0,ails2_eoh_acc,250230.0,54.0,75651.76284766197
21,ails2_eoh_acc,250230.0,ails2_etaMax1.000_stoppingTime86400.00,250222.0,8.0,79253.18156218529
22,ails2_etaMax1.000_stoppingTime86400.00,250222.0,ails2_eoh_acc_large,250207.0,15.0,82854.93864297867
23,ails2_eoh_acc_large,250207.0,ails2_eoh_acc_large,250206.0,1.0,86456.3876709938
24,ails2_eoh_acc_large,250206.0,HGS-TV,250204.0,2.0,93657.5391690731
25,HGS-TV,250204.0,ails2_etaMax0.020_stoppingTime86400.00,250192.0,12.0,158459.88054704666
26,ails2_etaMax0.020_stoppingTime86400.00,250192.0,HGS-TV,250189.0,3.0,165660.8228290081
27,HGS-TV,250189.0,HGS-TV,250184.0,5.0,169261.50308322906
28,HGS-TV,250184.0,HGS-TV,250181.0,3.0,172862.4213719368
29,HGS-TV,250181.0,HGS-TV,250180.0,1.0,187263.53482484818
30,HGS-TV,250180.0,filo2,250179.0,1.0,190864.21893930435
31,filo2,250179.0,ails2_etaMax1.000_stoppingTime432000.00,250177.0,2.0,309668.2189719677
32,ails2_etaMax1.000_stoppingTime432000.00,250177.0,HGS-TV,250157.0,20.0,313268.490721941
33,HGS-TV,250157.0,HGS-TV,250139.0,18.0,316869.13475203514
34,HGS-TV,250139.0,HGS-TV,250133.0,6.0,320469.9635334015
35,HGS-TV,250133.0,ails2_etaMax1.000_stoppingTime432000.00,250131.0,2.0,324070.59495973587
36,ails2_etaMax1.000_stoppingTime432000.00,250131.0,ails2_etaMax1.000_stoppingTime432000.00,250124.0,7.0,327671.4323794842
37,ails2_etaMax1.000_stoppingTime432000.00,250124.0,HGS-TV,250120.0,4.0,331272.26308608055
38,HGS-TV,250120.0,HGS-TV,250109.0,11.0,334872.9709198475
39,HGS-TV,250109.0,HGS-TV,250100.0,9.0,338473.67468094826
40,HGS-TV,250100.0,HGS-TV,250097.0,3.0,342074.41394901276
41,HGS-TV,250097.0,HGS-TV,250094.0,3.0,345675.16285943985
42,HGS-TV,250094.0,HGS-TV,250093.0,1.0,349275.85865831375
43,HGS-TV,250093.0,HGS-TV,250092.0,1.0,363676.782705307
44,HGS-TV,250092.0,HGS-TV,250091.0,1.0,370877.5630185604
45,HGS-TV,250091.0,HGS-TV,250090.0,1.0,381678.44295597076
46,HGS-TV,250090.0,ails2_etaMax1.000_stoppingTime432000.00,250086.0,4.0,385279.1227929592
47,ails2_etaMax1.000_stoppingTime432000.00,250086.0,ails2_etaMax1.000_stoppingTime432000.00,250083.0,3.0,388879.9071352482
48,ails2_etaMax1.000_stoppingTime432000.00,250083.0,ails2_etaMax1.000_stoppingTime432000.00,250081.0,2.0,392480.711268425
49,ails2_etaMax1.000_stoppingTime432000.00,250081.0,HGS-TV,250077.0,4.0,396081.54317474365
50,HGS-TV,250077.0,HGS-TV,250076.0,1.0,403282.32687950134
51,HGS-TV,250076.0,ails2_etaMax1.000_stoppingTime864000.00,250056.0,20.0,579712.9658284187
52,ails2_etaMax1.000_stoppingTime864000.00,250056.0,HGS-TV,250029.0,27.0,583313.8975064754
53,HGS-TV,250029.0,HGS-TV,250026.0,3.0,586914.5394744873
54,HGS-TV,250026.0,HGS-TV,250024.0,2.0,590515.1881165504
55,HGS-TV,250024.0,HGS-TV,250022.0,2.0,594115.8218569756
56,HGS-TV,250022.0,HGS-TV,250019.0,3.0,597716.4716794491
57,HGS-TV,250019.0,HGS-TV,250017.0,2.0,601317.2158124447
58,HGS-TV,250017.0,HGS-TV,250016.0,1.0,604917.9717435837
59,HGS-TV,250016.0,ails2_etaMax1.000_stoppingTime864000.00,250012.0,4.0,608518.7600359917
60,ails2_etaMax1.000_stoppingTime864000.00,250012.0,ails2_etaMax1.000_stoppingTime864000.00,249990.0,22.0,612119.6206703186
61,ails2_etaMax1.000_stoppingTime864000.00,249990.0,HGS-TV,249964.0,26.0,615720.4532401562
62,HGS-TV,249964.0,HGS-TV,249962.0,2.0,619321.2238857746
63,HGS-TV,249962.0,HGS-TV,249954.0,8.0,622922.0307712555
64,HGS-TV,249954.0,HGS-TV,249951.0,3.0,626522.7146372795
65,HGS-TV,249951.0,HGS-TV,249945.0,6.0,633724.0735089779
66,HGS-TV,249945.0,HGS-TV,249942.0,3.0,640925.4568345547
67,HGS-TV,249942.0,HGS-TV,249941.0,1.0,644526.1507604122
68,HGS-TV,249941.0,HGS-TV,249938.0,3.0,648126.797858715
69,HGS-TV,249938.0,HGS-TV,249937.0,1.0,655328.1154603958
70,HGS-TV,249937.0,HGS-TV,249936.0,1.0,662529.5110514164
71,HGS-TV,249936.0,HGS-TV,249935.0,1.0,666130.2111070156
72,HGS-TV,249935.0,HGS-TV,249934.0,1.0,680532.9093594551
73,HGS-TV,249934.0,ails2_etaMax1.000_stoppingTime864000.00,249931.0,3.0,691335.2205467224
74,ails2_etaMax1.000_stoppingTime864000.00,249931.0,HGS-TV,249927.0,4.0,698536.82046628
75,HGS-TV,249927.0,HGS-TV,249923.0,4.0,702137.630856514
76,HGS-TV,249923.0,HGS-TV,249922.0,1.0,705738.4283173084
77,HGS-TV,249922.0,HGS-TV,249921.0,1.0,716540.5075070858
78,HGS-TV,249921.0,HGS-TV,249919.0,2.0,723741.7602612972
79,HGS-TV,249919.0,ails2_etaMax1.000_stoppingTime864000.00,249918.0,1.0,756147.7920649052
80,ails2_etaMax1.000_stoppingTime864000.00,249918.0,HGS-TV,249917.0,1.0,1037010.6698651314
81,HGS-TV,249917.0,HGS-TV,249916.0,1.0,1044212.0549652576
82,HGS-TV,249916.0,HGS-TV,249915.0,1.0,1047812.6310100555
83,HGS-TV,249915.0,HGS-TV,249914.0,1.0,1058614.7391488552
84,HGS-TV,249914.0,HGS-TV,249913.0,1.0,1062215.5180101395
