timestamp_sec,score
0.0,283622.0
0.0,283622.0
0.0,283622.0
0.0,283622.0
0.0,283622.0
26.156599609375,283618.0
33.667599609375,283617.0
36.002599609375,283610.0
50.0168330078125,283619.0
53.6248330078125,283617.0
54.295599609375,283608.0
60.1778330078125,283604.0
62.474599609375,283607.0
63.1088330078125,283603.0
65.63261352539062,283597.0
66.19361352539063,283596.0
75.45061352539062,283591.0
76.1338330078125,283602.0
77.8648330078125,283601.0
80.020599609375,283605.0
83.35461352539062,283583.0
83.505599609375,283604.0
84.7738330078125,283599.0
89.43861352539062,283560.0
89.463599609375,283603.0
97.417599609375,283598.0
97.85761352539062,283559.0
