id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_eoh_acc,1089481.0,ails2_eoh_acc,1089408.0,73.0,7201.998880147934
2,ails2_eoh_acc,1089408.0,ails2_eoh_acc,1089364.0,44.0,10803.658828020096
3,ails2_eoh_acc,1089364.0,ails2_eoh_acc_large,1089336.0,28.0,14405.558246612549
4,ails2_eoh_acc_large,1089336.0,ails2_eoh_acc,1089321.0,15.0,18007.414983272552
5,ails2_eoh_acc,1089321.0,ails2_eoh_acc,1089299.0,22.0,21609.116042137146
6,ails2_eoh_acc,1089299.0,ails2_eoh_acc_large,1089279.0,20.0,25210.838190078735
7,ails2_eoh_acc_large,1089279.0,HGS-TV,1089148.0,131.0,28812.502690076828
8,HGS-TV,1089148.0,ails2_eoh_acc_large,1088955.0,193.0,32414.37719321251
9,ails2_eoh_acc_large,1088955.0,ails2_eoh_acc_large,1088945.0,10.0,36016.030306339264
10,ails2_eoh_acc_large,1088945.0,ails2_eoh_acc_large,1088928.0,17.0,39617.909264564514
11,ails2_eoh_acc_large,1088928.0,ails2_eoh_acc,1088922.0,6.0,43219.57813501358
12,ails2_eoh_acc,1088922.0,ails2_eoh_acc,1088921.0,1.0,46821.12643957138
13,ails2_eoh_acc,1088921.0,ails2_eoh_acc_large,1088917.0,4.0,50422.89553999901
14,ails2_eoh_acc_large,1088917.0,ails2_eoh_acc_large,1088914.0,3.0,54024.37742328644
15,ails2_eoh_acc_large,1088914.0,ails2_eoh_acc_large,1088905.0,9.0,57626.06672692299
16,ails2_eoh_acc_large,1088905.0,ails2_eoh_acc_large,1088893.0,12.0,61227.72303915024
17,ails2_eoh_acc_large,1088893.0,ails2_eoh_acc,1088886.0,7.0,64829.5144097805
18,ails2_eoh_acc,1088886.0,ails2_eoh_acc,1088885.0,1.0,68431.4234764576
19,ails2_eoh_acc,1088885.0,ails2_eoh_acc,1088884.0,1.0,72033.12308073044
20,ails2_eoh_acc,1088884.0,ails2_eoh_acc,1088869.0,15.0,79234.96129083633
21,ails2_eoh_acc,1088869.0,ails2_eoh_acc,1088865.0,4.0,82836.69429802895
22,ails2_eoh_acc,1088865.0,ails2_eoh_omega2,1088847.0,18.0,118839.30260801315
23,ails2_eoh_omega2,1088847.0,HGS-TV,1088836.0,11.0,126040.61894416809
24,HGS-TV,1088836.0,HGS-TV,1088835.0,1.0,133241.62593102455
25,HGS-TV,1088835.0,ails2_eoh_omega2,1088833.0,2.0,140442.66537475586
26,ails2_eoh_omega2,1088833.0,HGS-TV,1088825.0,8.0,144043.9840581417
27,HGS-TV,1088825.0,ails2_eoh_omega2,1088821.0,4.0,151245.04844737053
28,ails2_eoh_omega2,1088821.0,ails2_eoh_omega2,1088816.0,5.0,154846.30483174324
29,ails2_eoh_omega2,1088816.0,HGS-TV,1088807.0,9.0,158447.67949318886
30,HGS-TV,1088807.0,HGS-TV,1088806.0,1.0,169248.86327648163
31,HGS-TV,1088806.0,HGS-TV,1088805.0,1.0,172849.80232477188
32,HGS-TV,1088805.0,HGS-TV,1088804.0,1.0,180052.01925730705
33,HGS-TV,1088804.0,HGS-TV,1088803.0,1.0,190854.97793388367
34,HGS-TV,1088803.0,HGS-TV,1088802.0,1.0,194456.1350543499
35,HGS-TV,1088802.0,HGS-TV,1088801.0,1.0,198057.05323076248
36,HGS-TV,1088801.0,HGS-TV,1088800.0,1.0,205259.105376482
37,HGS-TV,1088800.0,HGS-TV,1088799.0,1.0,208860.16351485252
38,HGS-TV,1088799.0,HGS-TV,1088798.0,1.0,219663.2783653736
39,HGS-TV,1088798.0,HGS-TV,1088796.0,2.0,230466.17844080925
40,HGS-TV,1088796.0,HGS-TV,1088795.0,1.0,252071.8464987278
