id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_eoh_acc,361794.0,ails2_etaMax0.005_stoppingTime86400.00,361734.0,60.0,7201.789457798004
2,ails2_etaMax0.005_stoppingTime86400.00,361734.0,ails2_eoh_acc_large,361668.0,66.0,10804.125850200653
3,ails2_eoh_acc_large,361668.0,ails2_eoh_omega2,361630.0,38.0,14406.345566749573
4,ails2_eoh_omega2,361630.0,ails2_eoh_omega2,361560.0,70.0,18008.020111083984
5,ails2_eoh_omega2,361560.0,ails2_eoh_acc_large,361532.0,28.0,21609.42790412903
6,ails2_eoh_acc_large,361532.0,ails2_eoh_acc_large,361528.0,4.0,25210.35347890854
7,ails2_eoh_acc_large,361528.0,ails2_eoh_acc,361524.0,4.0,28812.26950287819
8,ails2_eoh_acc,361524.0,HGS-TV,361506.0,18.0,32413.98050713539
9,HGS-TV,361506.0,ails2_eoh_acc_large,361492.0,14.0,36016.15390300751
10,ails2_eoh_acc_large,361492.0,HGS-TV,361489.0,3.0,39617.75238800049
11,HGS-TV,361489.0,ails2_eoh_acc_large,361486.0,3.0,43219.62424659729
12,ails2_eoh_acc_large,361486.0,ails2_etaMax1.000_stoppingTime86400.00,361477.0,9.0,54020.70143222809
13,ails2_etaMax1.000_stoppingTime86400.00,361477.0,ails2_eoh_acc_large,361307.0,170.0,57623.029488801956
14,ails2_eoh_acc_large,361307.0,ails2_eoh_acc,361290.0,17.0,61224.76541638374
15,ails2_eoh_acc,361290.0,ails2_eoh_acc_large,361279.0,11.0,64826.67761468887
16,ails2_eoh_acc_large,361279.0,ails2_etaMax1.000_stoppingTime86400.00,361260.0,19.0,68427.8223001957
17,ails2_etaMax1.000_stoppingTime86400.00,361260.0,ails2_eoh_acc,361212.0,48.0,72029.1374502182
18,ails2_eoh_acc,361212.0,ails2_etaMax1.000_stoppingTime86400.00,361189.0,23.0,75631.15598583221
19,ails2_etaMax1.000_stoppingTime86400.00,361189.0,ails2_eoh_acc_large,361177.0,12.0,79233.4482319355
20,ails2_eoh_acc_large,361177.0,ails2_eoh_acc,361170.0,7.0,82835.22810864449
21,ails2_eoh_acc,361170.0,ails2_eoh_acc,361167.0,3.0,86437.04434108734
22,ails2_eoh_acc,361167.0,ails2_etaMax0.020_stoppingTime86400.00,361165.0,2.0,169240.1975133419
23,ails2_etaMax0.020_stoppingTime86400.00,361165.0,HGS-TV,361160.0,5.0,172841.46463012695
24,HGS-TV,361160.0,HGS-TV,361158.0,2.0,180042.71384453773
25,HGS-TV,361158.0,ails2_etaMax1.000_stoppingTime432000.00,361156.0,2.0,424850.43999266624
26,ails2_etaMax1.000_stoppingTime432000.00,361156.0,HGS-TV,361155.0,1.0,428450.7241387367
27,HGS-TV,361155.0,ails2_etaMax1.000_stoppingTime432000.00,361152.0,3.0,432051.4003522396
28,ails2_etaMax1.000_stoppingTime432000.00,361152.0,HGS-TV,361151.0,1.0,435652.0655193329
29,HGS-TV,361151.0,HGS-TV,361150.0,1.0,442854.2534198761
30,HGS-TV,361150.0,HGS-TV,361149.0,1.0,450056.41227436066
31,HGS-TV,361149.0,HGS-TV,361148.0,1.0,453657.0900814533
32,HGS-TV,361148.0,ails2_etaMax0.010_stoppingTime432000.00,361145.0,3.0,626496.1980993748
33,ails2_etaMax0.010_stoppingTime432000.00,361145.0,HGS-TV,361143.0,2.0,630096.806882143
34,HGS-TV,361143.0,HGS-TV,361141.0,2.0,633697.3875939846
35,HGS-TV,361141.0,ails2_etaMax0.010_stoppingTime432000.00,361138.0,3.0,709308.7161881924
36,ails2_etaMax0.010_stoppingTime432000.00,361138.0,HGS-TV,361136.0,2.0,712909.2804005146
37,HGS-TV,361136.0,ails2_etaMax1.000_stoppingTime864000.00,361134.0,2.0,727311.4794778824
38,ails2_etaMax1.000_stoppingTime864000.00,361134.0,HGS-TV,361130.0,4.0,730912.1130769253
39,HGS-TV,361130.0,HGS-TV,361125.0,5.0,734512.6933982372
40,HGS-TV,361125.0,HGS-TV,361124.0,1.0,738113.2750737667
41,HGS-TV,361124.0,ails2_etaMax1.000_stoppingTime864000.00,361122.0,2.0,792121.5928323269
42,ails2_etaMax1.000_stoppingTime864000.00,361122.0,HGS-TV,361121.0,1.0,795722.2308228016
43,HGS-TV,361121.0,HGS-TV,361120.0,1.0,802923.295883894
44,HGS-TV,361120.0,HGS-TV,361119.0,1.0,806523.8553733826
