0.10;33102
0.37;28788
0.54;28756
0.58;28610
0.63;28558
0.71;28547
0.74;28529
1.21;28483
1.22;28350
1.34;28334
1.37;28259
1.94;28211
2.15;28164
2.16;28148
2.22;28039
2.61;28031
3.36;27997
3.37;27996
3.49;27940
3.59;27906
5.47;27871
7.69;27832
7.85;27815
8.09;27751
8.27;27733
9.15;27729
9.40;27711
9.79;27688
9.81;27665
34.17;27647
34.20;27597
