algo_name,seed_count
ails2_etaMax0.020_stoppingTime86400.00,3
ails2_eoh_acc_large,7
ails2_eoh_acc,11
ails2_eoh_omega2,2
ails2_etaMax1.000_stoppingTime86400.00,3
HGS-TV,25
filo2,5
ails2_etaMax1.000_stoppingTime432000.00,12
ails2_etaMax0.005_stoppingTime86400.00,2
