id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_etaMax0.005_stoppingTime86400.00,219377.0,ails2_etaMax0.005_stoppingTime86400.00,219250.0,127.0,7201.666542291641
2,ails2_etaMax0.005_stoppingTime86400.00,219250.0,ails2_eoh_acc_large,219192.0,58.0,10802.695438623428
3,ails2_eoh_acc_large,219192.0,ails2_eoh_acc,219180.0,12.0,14403.470530748367
4,ails2_eoh_acc,219180.0,ails2_eoh_acc,219176.0,4.0,18004.17951440811
5,ails2_eoh_acc,219176.0,ails2_etaMax0.020_stoppingTime86400.00,219171.0,5.0,21604.89833188057
6,ails2_etaMax0.020_stoppingTime86400.00,219171.0,ails2_eoh_acc_large,219028.0,143.0,25205.708547592163
7,ails2_eoh_acc_large,219028.0,ails2_eoh_acc,219020.0,8.0,28806.406692266464
8,ails2_eoh_acc,219020.0,ails2_eoh_acc,219011.0,9.0,32407.142187595367
9,ails2_eoh_acc,219011.0,HGS-TV,219010.0,1.0,36007.83462762833
10,HGS-TV,219010.0,ails2_eoh_acc_large,219008.0,2.0,39608.642271757126
11,ails2_eoh_acc_large,219008.0,ails2_etaMax1.000_stoppingTime86400.00,218956.0,52.0,46809.446860313416
12,ails2_etaMax1.000_stoppingTime86400.00,218956.0,ails2_eoh_acc,218791.0,165.0,50410.42633700371
13,ails2_eoh_acc,218791.0,HGS-TV,218786.0,5.0,54011.25873422623
14,HGS-TV,218786.0,ails2_eoh_acc,218781.0,5.0,57612.182831287384
15,ails2_eoh_acc,218781.0,ails2_eoh_acc,218777.0,4.0,61212.95769453049
16,ails2_eoh_acc,218777.0,HGS-TV,218772.0,5.0,68413.79215025902
17,HGS-TV,218772.0,ails2_etaMax1.000_stoppingTime86400.00,218766.0,6.0,72014.63881707191
18,ails2_etaMax1.000_stoppingTime86400.00,218766.0,ails2_eoh_acc_large,218755.0,11.0,75615.47265863419
19,ails2_eoh_acc_large,218755.0,ails2_eoh_acc_large,218753.0,2.0,82816.28692173958
20,ails2_eoh_acc_large,218753.0,ails2_etaMax0.020_stoppingTime86400.00,218748.0,5.0,129618.04445433617
21,ails2_etaMax0.020_stoppingTime86400.00,218748.0,HGS-TV,218740.0,8.0,133218.6149535179
22,HGS-TV,218740.0,HGS-TV,218739.0,1.0,136819.13453412056
23,HGS-TV,218739.0,HGS-TV,218738.0,1.0,140419.65869045258
24,HGS-TV,218738.0,HGS-TV,218732.0,6.0,144020.11890625954
25,HGS-TV,218732.0,HGS-TV,218729.0,3.0,147620.6312069893
26,HGS-TV,218729.0,ails2_etaMax1.000_stoppingTime432000.00,218725.0,4.0,295224.3426735401
27,ails2_etaMax1.000_stoppingTime432000.00,218725.0,HGS-TV,218696.0,29.0,298824.57557559013
28,HGS-TV,218696.0,HGS-TV,218692.0,4.0,302425.0063741207
29,HGS-TV,218692.0,ails2_etaMax1.000_stoppingTime432000.00,218684.0,8.0,338426.03150749207
30,ails2_etaMax1.000_stoppingTime432000.00,218684.0,HGS-TV,218673.0,11.0,342026.5812897682
31,HGS-TV,218673.0,ails2_etaMax1.000_stoppingTime432000.00,218672.0,1.0,399628.4022819996
32,ails2_etaMax1.000_stoppingTime432000.00,218672.0,ails2_etaMax1.000_stoppingTime432000.00,218671.0,1.0,414029.1636660099
33,ails2_etaMax1.000_stoppingTime432000.00,218671.0,ails2_etaMax1.000_stoppingTime864000.00,218669.0,2.0,658863.0872089863
34,ails2_etaMax1.000_stoppingTime864000.00,218669.0,HGS-TV,218657.0,12.0,662463.6550061703
35,HGS-TV,218657.0,HGS-TV,218651.0,6.0,666064.170260191
36,HGS-TV,218651.0,ails2_etaMax1.000_stoppingTime864000.00,218649.0,2.0,741674.660918951
37,ails2_etaMax1.000_stoppingTime864000.00,218649.0,HGS-TV,218645.0,4.0,745275.2298340797
