id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_etaMax0.010_stoppingTime432000.00,146928.0,ails2_etaMax0.005_stoppingTime86400.00,146839.0,89.0,7201.81410741806
2,ails2_etaMax0.005_stoppingTime86400.00,146839.0,ails2_etaMax0.010_stoppingTime432000.00,146736.0,103.0,10803.138044595718
3,ails2_etaMax0.010_stoppingTime432000.00,146736.0,ails2_etaMax0.020_stoppingTime86400.00,146677.0,59.0,14404.848829746246
4,ails2_etaMax0.020_stoppingTime86400.00,146677.0,ails2_eoh_acc,146608.0,69.0,18006.02105498314
5,ails2_eoh_acc,146608.0,ails2_eoh_acc,146605.0,3.0,21606.60640001297
6,ails2_eoh_acc,146605.0,ails2_eoh_acc,146599.0,6.0,25207.08890938759
7,ails2_eoh_acc,146599.0,HGS-TV,146593.0,6.0,32408.210007190704
8,HGS-TV,146593.0,ails2_etaMax1.000_stoppingTime86400.00,146572.0,21.0,39609.570441007614
9,ails2_etaMax1.000_stoppingTime86400.00,146572.0,ails2_eoh_acc,146463.0,109.0,43210.704857349396
10,ails2_eoh_acc,146463.0,ails2_eoh_acc_large,146455.0,8.0,46811.29353952408
11,ails2_eoh_acc_large,146455.0,ails2_eoh_acc,146453.0,2.0,54011.930055856705
12,ails2_eoh_acc,146453.0,ails2_etaMax1.000_stoppingTime86400.00,146448.0,5.0,57613.00513410568
13,ails2_etaMax1.000_stoppingTime86400.00,146448.0,ails2_eoh_acc,146441.0,7.0,61214.370028972626
14,ails2_eoh_acc,146441.0,ails2_eoh_acc,146440.0,1.0,64815.52409696579
15,ails2_eoh_acc,146440.0,ails2_etaMax1.000_stoppingTime86400.00,146439.0,1.0,82816.65297579765
16,ails2_etaMax1.000_stoppingTime86400.00,146439.0,ails2_etaMax0.005_stoppingTime86400.00,146433.0,6.0,118818.81047153473
17,ails2_etaMax0.005_stoppingTime86400.00,146433.0,HGS-TV,146430.0,3.0,122419.33402228355
18,HGS-TV,146430.0,HGS-TV,146428.0,2.0,126020.05400586128
19,HGS-TV,146428.0,HGS-TV,146427.0,1.0,129620.85805559158
20,HGS-TV,146427.0,ails2_etaMax0.020_stoppingTime86400.00,146425.0,2.0,183622.96530485153
21,ails2_etaMax0.020_stoppingTime86400.00,146425.0,HGS-TV,146423.0,2.0,190823.7337076664
22,HGS-TV,146423.0,HGS-TV,146421.0,2.0,194424.11006379128
23,HGS-TV,146421.0,ails2_etaMax0.005_stoppingTime86400.00,146418.0,3.0,277226.92205286026
24,ails2_etaMax0.005_stoppingTime86400.00,146418.0,ails2_etaMax1.000_stoppingTime432000.00,146416.0,2.0,295228.4580616951
25,ails2_etaMax1.000_stoppingTime432000.00,146416.0,HGS-TV,146415.0,1.0,298829.3972251415
26,HGS-TV,146415.0,HGS-TV,146414.0,1.0,302430.1678364277
27,HGS-TV,146414.0,HGS-TV,146412.0,2.0,309630.804718256
28,HGS-TV,146412.0,HGS-TV,146411.0,1.0,316831.33399772644
29,HGS-TV,146411.0,ails2_etaMax1.000_stoppingTime432000.00,146410.0,1.0,331232.4969859123
30,ails2_etaMax1.000_stoppingTime432000.00,146410.0,ails2_etaMax1.000_stoppingTime432000.00,146409.0,1.0,334832.9255056381
31,ails2_etaMax1.000_stoppingTime432000.00,146409.0,ails2_etaMax1.000_stoppingTime432000.00,146408.0,1.0,352833.7446553707
32,ails2_etaMax1.000_stoppingTime432000.00,146408.0,HGS-TV,146406.0,2.0,360034.3861308098
33,HGS-TV,146406.0,ails2_etaMax1.000_stoppingTime864000.00,146404.0,2.0,486044.7140431404
34,ails2_etaMax1.000_stoppingTime864000.00,146404.0,HGS-TV,146396.0,8.0,489645.56981515884
35,HGS-TV,146396.0,HGS-TV,146391.0,5.0,493246.32204294205
36,HGS-TV,146391.0,HGS-TV,146386.0,5.0,496847.15800595284
37,HGS-TV,146386.0,HGS-TV,146384.0,2.0,504047.8935408592
38,HGS-TV,146384.0,HGS-TV,146380.0,4.0,507648.27804231644
39,HGS-TV,146380.0,HGS-TV,146377.0,3.0,511249.0060670376
40,HGS-TV,146377.0,HGS-TV,146375.0,2.0,522051.3020493984
41,HGS-TV,146375.0,HGS-TV,146374.0,1.0,529252.1228396893
42,HGS-TV,146374.0,ails2_etaMax1.000_stoppingTime864000.00,146372.0,2.0,601263.0190327168
43,ails2_etaMax1.000_stoppingTime864000.00,146372.0,ails2_etaMax1.000_stoppingTime864000.00,146370.0,2.0,604863.4710693359
44,ails2_etaMax1.000_stoppingTime864000.00,146370.0,HGS-TV,146369.0,1.0,615664.6966106892
45,HGS-TV,146369.0,ails2_etaMax1.000_stoppingTime1728000.00,146367.0,2.0,1047705.1457743645
46,ails2_etaMax1.000_stoppingTime1728000.00,146367.0,HGS-TV,146366.0,1.0,1051305.5716130733
47,HGS-TV,146366.0,HGS-TV,146365.0,1.0,1054905.955811739
48,HGS-TV,146365.0,ails2_etaMax1.000_stoppingTime1728000.00,146364.0,1.0,1065707.0275614262
49,ails2_etaMax1.000_stoppingTime1728000.00,146364.0,HGS-TV,146363.0,1.0,1069307.49969244
50,HGS-TV,146363.0,HGS-TV,146362.0,1.0,1072907.9165182114
