id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_etaMax0.020_stoppingTime86400.00,190530.0,ails2_etaMax0.005_stoppingTime86400.00,190382.0,148.0,7202.005413532257
2,ails2_etaMax0.005_stoppingTime86400.00,190382.0,ails2_eoh_acc_large,190297.0,85.0,10803.227078914642
3,ails2_eoh_acc_large,190297.0,ails2_etaMax0.005_stoppingTime86400.00,190238.0,59.0,14404.406314849854
4,ails2_etaMax0.005_stoppingTime86400.00,190238.0,ails2_eoh_acc_large,190202.0,36.0,18005.431776046753
5,ails2_eoh_acc_large,190202.0,ails2_eoh_acc_large,190201.0,1.0,21606.290994167328
6,ails2_eoh_acc_large,190201.0,HGS-TV,190198.0,3.0,25207.387635946274
7,HGS-TV,190198.0,ails2_eoh_acc_large,190197.0,1.0,28808.455721616745
8,ails2_eoh_acc_large,190197.0,ails2_etaMax1.000_stoppingTime86400.00,190150.0,47.0,36009.50409412384
9,ails2_etaMax1.000_stoppingTime86400.00,190150.0,ails2_eoh_acc,189832.0,318.0,39610.43631696701
10,ails2_eoh_acc,189832.0,ails2_eoh_acc,189807.0,25.0,43211.420378923416
11,ails2_eoh_acc,189807.0,ails2_eoh_acc_large,189802.0,5.0,46812.34359097481
12,ails2_eoh_acc_large,189802.0,ails2_etaMax1.000_stoppingTime86400.00,189763.0,39.0,50413.267126083374
13,ails2_etaMax1.000_stoppingTime86400.00,189763.0,ails2_eoh_acc_large,189692.0,71.0,54014.32764863968
14,ails2_eoh_acc_large,189692.0,ails2_eoh_acc,189678.0,14.0,57615.29809260368
15,ails2_eoh_acc,189678.0,ails2_eoh_acc_large,189675.0,3.0,61216.10442662239
16,ails2_eoh_acc_large,189675.0,ails2_etaMax1.000_stoppingTime86400.00,189674.0,1.0,64817.3596701622
17,ails2_etaMax1.000_stoppingTime86400.00,189674.0,ails2_eoh_acc,189662.0,12.0,68418.51711821556
18,ails2_eoh_acc,189662.0,HGS-TV,189658.0,4.0,72019.38438534737
19,HGS-TV,189658.0,ails2_eoh_acc_large,189655.0,3.0,75620.4843943119
20,ails2_eoh_acc_large,189655.0,ails2_eoh_acc_large,189652.0,3.0,79221.58906817436
21,ails2_eoh_acc_large,189652.0,ails2_eoh_acc_large,189651.0,1.0,82822.4104642868
22,ails2_eoh_acc_large,189651.0,ails2_etaMax0.020_stoppingTime86400.00,189647.0,4.0,108023.95626592636
23,ails2_etaMax0.020_stoppingTime86400.00,189647.0,HGS-TV,189640.0,7.0,111624.5714943409
24,HGS-TV,189640.0,HGS-TV,189635.0,5.0,115225.0631453991
25,HGS-TV,189635.0,HGS-TV,189633.0,2.0,118825.53579950333
26,HGS-TV,189633.0,HGS-TV,189630.0,3.0,122425.99153399467
27,HGS-TV,189630.0,ails2_etaMax0.005_stoppingTime86400.00,189625.0,5.0,144027.01225209236
28,ails2_etaMax0.005_stoppingTime86400.00,189625.0,HGS-TV,189622.0,3.0,147627.61608457565
29,HGS-TV,189622.0,HGS-TV,189620.0,2.0,151228.08332419395
30,HGS-TV,189620.0,ails2_etaMax0.010_stoppingTime172800.00,189618.0,2.0,255644.71042346954
31,ails2_etaMax0.010_stoppingTime172800.00,189618.0,HGS-TV,189616.0,2.0,259245.33526182175
32,HGS-TV,189616.0,HGS-TV,189613.0,3.0,262845.796238184
33,HGS-TV,189613.0,ails2_etaMax0.010_stoppingTime172800.00,189612.0,1.0,273647.5645959377
34,ails2_etaMax0.010_stoppingTime172800.00,189612.0,HGS-TV,189611.0,1.0,313254.28768229485
35,HGS-TV,189611.0,ails2_etaMax0.010_stoppingTime172800.00,189609.0,2.0,435675.69761252403
36,ails2_etaMax0.010_stoppingTime172800.00,189609.0,ails2_etaMax0.010_stoppingTime172800.00,189608.0,1.0,439276.5289134979
37,ails2_etaMax0.010_stoppingTime172800.00,189608.0,HGS-TV,189607.0,1.0,442877.17453479767
38,HGS-TV,189607.0,warm_start,189598.0,9.0,446477.62761592865
