id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_eoh_omega2,1042072.0,ails2_eoh_acc,1041689.0,383.0,7205.882849693298
2,ails2_eoh_acc,1041689.0,ails2_eoh_acc,1041637.0,52.0,10808.761410713196
3,ails2_eoh_acc,1041637.0,ails2_eoh_omega2,1041583.0,54.0,14411.949585676193
4,ails2_eoh_omega2,1041583.0,ails2_eoh_acc,1041277.0,306.0,18015.917593479156
5,ails2_eoh_acc,1041277.0,ails2_eoh_acc_large,1041253.0,24.0,21618.621471881866
6,ails2_eoh_acc_large,1041253.0,ails2_eoh_acc_large,1041246.0,7.0,25221.353492736816
7,ails2_eoh_acc_large,1041246.0,ails2_eoh_acc_large,1041240.0,6.0,28823.498106479645
8,ails2_eoh_acc_large,1041240.0,ails2_eoh_acc_large,1041237.0,3.0,32426.15745329857
9,ails2_eoh_acc_large,1041237.0,ails2_eoh_acc_large,1041221.0,16.0,36029.56588959694
10,ails2_eoh_acc_large,1041221.0,ails2_eoh_acc_large,1041216.0,5.0,39632.41765832901
11,ails2_eoh_acc_large,1041216.0,ails2_eoh_acc,1041170.0,46.0,43234.681599378586
12,ails2_eoh_acc,1041170.0,ails2_eoh_acc_large,1041169.0,1.0,46837.65367889404
13,ails2_eoh_acc_large,1041169.0,ails2_eoh_acc_large,1041151.0,18.0,57640.834214925766
14,ails2_eoh_acc_large,1041151.0,ails2_eoh_acc_large,1041139.0,12.0,61243.43767333031
15,ails2_eoh_acc_large,1041139.0,ails2_etaMax1.000_stoppingTime86400.00,1040916.0,223.0,64844.96963453293
16,ails2_etaMax1.000_stoppingTime86400.00,1040916.0,ails2_eoh_acc_large,1040574.0,342.0,68446.78088521957
17,ails2_eoh_acc_large,1040574.0,ails2_eoh_acc,1040553.0,21.0,72048.1376619339
18,ails2_eoh_acc,1040553.0,ails2_eoh_acc,1040540.0,13.0,75649.39756035805
19,ails2_eoh_acc,1040540.0,ails2_eoh_acc,1040532.0,8.0,79250.84169149399
20,ails2_eoh_acc,1040532.0,ails2_eoh_acc_large,1040530.0,2.0,82852.12964177132
21,ails2_eoh_acc_large,1040530.0,ails2_eoh_acc,1040521.0,9.0,86453.85008311272
22,ails2_eoh_acc,1040521.0,ails2_etaMax0.020_stoppingTime86400.00,1040507.0,14.0,151256.45598864555
23,ails2_etaMax0.020_stoppingTime86400.00,1040507.0,HGS-TV,1040470.0,37.0,162057.62594532967
24,HGS-TV,1040470.0,HGS-TV,1040469.0,1.0,165658.34942007065
25,HGS-TV,1040469.0,HGS-TV,1040465.0,4.0,169259.15753245354
26,HGS-TV,1040465.0,HGS-TV,1040464.0,1.0,172859.93124771118
27,HGS-TV,1040464.0,HGS-TV,1040463.0,1.0,176460.78225421906
