id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_etaMax0.020_stoppingTime86400.00,380690.0,HGS-TV,380598.0,92.0,7200.76818561554
2,HGS-TV,380598.0,HGS-TV,380592.0,6.0,10801.447682142258
3,HGS-TV,380592.0,HGS-TV,380590.0,2.0,14402.264242649078
4,HGS-TV,380590.0,ails2_etaMax1.000_stoppingTime86400.00,380507.0,83.0,32403.222259283066
5,ails2_etaMax1.000_stoppingTime86400.00,380507.0,ails2_eoh_acc,380249.0,258.0,36003.95164513588
6,ails2_eoh_acc,380249.0,ails2_eoh_acc,380248.0,1.0,39604.63576698303
7,ails2_eoh_acc,380248.0,HGS-TV,380246.0,2.0,43205.27560591698
8,HGS-TV,380246.0,ails2_etaMax1.000_stoppingTime432000.00,380242.0,4.0,302411.2586758137
9,ails2_etaMax1.000_stoppingTime432000.00,380242.0,HGS-TV,380193.0,49.0,306011.4324028492
