id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_etaMax0.020_stoppingTime86400.00,800260.0,ails2_eoh_acc_large,799821.0,439.0,7202.856920957565
2,ails2_eoh_acc_large,799821.0,ails2_eoh_acc_large,799798.0,23.0,10805.260959625244
3,ails2_eoh_acc_large,799798.0,ails2_etaMax0.020_stoppingTime86400.00,799669.0,129.0,14407.571540117264
4,ails2_etaMax0.020_stoppingTime86400.00,799669.0,ails2_eoh_acc_large,799508.0,161.0,18009.62763261795
5,ails2_eoh_acc_large,799508.0,ails2_eoh_acc_large,799407.0,101.0,21610.790996313095
6,ails2_eoh_acc_large,799407.0,HGS-TV,799371.0,36.0,25211.72888970375
7,HGS-TV,799371.0,ails2_eoh_acc,799276.0,95.0,32414.543885469437
8,ails2_eoh_acc,799276.0,ails2_eoh_acc,799246.0,30.0,36016.18742990494
9,ails2_eoh_acc,799246.0,ails2_eoh_acc,799212.0,34.0,39618.19586157799
10,ails2_eoh_acc,799212.0,ails2_eoh_acc,799207.0,5.0,46819.89962363243
11,ails2_eoh_acc,799207.0,ails2_eoh_acc,799205.0,2.0,50420.924894332886
12,ails2_eoh_acc,799205.0,ails2_etaMax1.000_stoppingTime86400.00,799111.0,94.0,61223.236896038055
13,ails2_etaMax1.000_stoppingTime86400.00,799111.0,ails2_etaMax1.000_stoppingTime86400.00,798817.0,294.0,64825.4900996685
14,ails2_etaMax1.000_stoppingTime86400.00,798817.0,ails2_etaMax1.000_stoppingTime86400.00,798650.0,167.0,68426.94745445251
15,ails2_etaMax1.000_stoppingTime86400.00,798650.0,ails2_etaMax1.000_stoppingTime86400.00,798589.0,61.0,72028.28484916687
16,ails2_etaMax1.000_stoppingTime86400.00,798589.0,ails2_etaMax1.000_stoppingTime86400.00,798540.0,49.0,75630.55947494507
17,ails2_etaMax1.000_stoppingTime86400.00,798540.0,ails2_etaMax1.000_stoppingTime86400.00,798489.0,51.0,79232.4769206047
18,ails2_etaMax1.000_stoppingTime86400.00,798489.0,filo2,798478.0,11.0,82834.43287348747
19,filo2,798478.0,HGS-TV,798466.0,12.0,86436.79379439354
20,HGS-TV,798466.0,HGS-TV,798461.0,5.0,90037.61990857124
21,HGS-TV,798461.0,HGS-TV,798458.0,3.0,93638.27135634422
22,HGS-TV,798458.0,HGS-TV,798457.0,1.0,100839.0328848362
23,HGS-TV,798457.0,HGS-TV,798455.0,2.0,111640.35137152672
24,HGS-TV,798455.0,HGS-TV,798450.0,5.0,115241.04369568825
25,HGS-TV,798450.0,ails2_etaMax1.000_stoppingTime432000.00,798439.0,11.0,414049.9568500519
26,ails2_etaMax1.000_stoppingTime432000.00,798439.0,ails2_etaMax1.000_stoppingTime432000.00,798427.0,12.0,417650.80775618553
27,ails2_etaMax1.000_stoppingTime432000.00,798427.0,HGS-TV,798414.0,13.0,421251.86489748955
28,HGS-TV,798414.0,HGS-TV,798407.0,7.0,424852.9876537323
29,HGS-TV,798407.0,HGS-TV,798405.0,2.0,428454.1208949089
30,HGS-TV,798405.0,HGS-TV,798396.0,9.0,432054.86260032654
31,HGS-TV,798396.0,HGS-TV,798394.0,2.0,435655.496891737
32,HGS-TV,798394.0,ails2_etaMax0.010_stoppingTime432000.00,798381.0,13.0,583294.1248600483
33,ails2_etaMax0.010_stoppingTime432000.00,798381.0,filo2,798367.0,14.0,586895.3629655838
34,filo2,798367.0,HGS-TV,798357.0,10.0,590496.5248761177
35,HGS-TV,798357.0,HGS-TV,798346.0,11.0,594097.7285692692
36,HGS-TV,798346.0,HGS-TV,798345.0,1.0,601299.1373953819
37,HGS-TV,798345.0,HGS-TV,798343.0,2.0,604899.743698597
38,HGS-TV,798343.0,HGS-TV,798336.0,7.0,612100.8614854813
39,HGS-TV,798336.0,ails2_etaMax0.010_stoppingTime432000.00,798329.0,7.0,615701.4722504616
40,ails2_etaMax0.010_stoppingTime432000.00,798329.0,ails2_etaMax0.010_stoppingTime432000.00,798325.0,4.0,619302.0874929428
41,ails2_etaMax0.010_stoppingTime432000.00,798325.0,filo2,798309.0,16.0,622902.667993784
42,filo2,798309.0,HGS-TV,798298.0,11.0,626503.3402383327
43,HGS-TV,798298.0,HGS-TV,798293.0,5.0,630103.9598407745
44,HGS-TV,798293.0,HGS-TV,798288.0,5.0,633704.5162432194
45,HGS-TV,798288.0,HGS-TV,798286.0,2.0,637305.0797820091
46,HGS-TV,798286.0,HGS-TV,798285.0,1.0,640905.6805045605
47,HGS-TV,798285.0,ails2_etaMax0.010_stoppingTime432000.00,798282.0,3.0,658908.5155141354
48,ails2_etaMax0.010_stoppingTime432000.00,798282.0,HGS-TV,798268.0,14.0,662509.1922101974
49,HGS-TV,798268.0,HGS-TV,798258.0,10.0,666109.8017609119
50,HGS-TV,798258.0,HGS-TV,798254.0,4.0,669710.2673683167
51,HGS-TV,798254.0,HGS-TV,798253.0,1.0,673310.8820798397
52,HGS-TV,798253.0,ails2_etaMax0.010_stoppingTime432000.00,798251.0,2.0,727319.2560019493
53,ails2_etaMax0.010_stoppingTime432000.00,798251.0,filo2,798239.0,12.0,730919.9345049858
54,filo2,798239.0,filo2,798238.0,1.0,734520.674642086
55,filo2,798238.0,HGS-TV,798233.0,5.0,738121.34979105
56,HGS-TV,798233.0,HGS-TV,798225.0,8.0,741721.8551084995
57,HGS-TV,798225.0,HGS-TV,798221.0,4.0,748923.0492031574
58,HGS-TV,798221.0,HGS-TV,798219.0,2.0,752523.6605370045
59,HGS-TV,798219.0,HGS-TV,798216.0,3.0,756124.2372579575
