id,algo_name,score,runningtime
1,filo2,434166.0,63.36611843109131
2,ails2_etaMax1.000_stoppingTime432000.00,432626.0,66.191375
3,ails2_etaMax1.000_stoppingTime86400.00,432603.0,58.519375
4,ails2_eoh_omega2,431853.0,68.187375
5,ails2_etaMax1.000_stoppingTime864000.00,432619.0,65.127375
6,ails2_etaMax1.000_stoppingTime1728000.00,432620.0,53.263375
7,ails2_etaMax0.005_stoppingTime86400.00,431886.0,68.401375
8,ails2_eoh_acc,431758.0,68.054375
9,ails2_eoh_acc_large,431879.0,69.502375
10,ails2_etaMax0.020_stoppingTime86400.00,431886.0,68.307375
11,ails2_etaMax0.010_stoppingTime432000.00,431900.0,71.510375
12,filo2,433903.0,123.92686152458191
13,ails2_etaMax1.000_stoppingTime432000.00,432436.0,110.720375
14,ails2_etaMax1.000_stoppingTime86400.00,432494.0,122.477375
15,ails2_etaMax1.000_stoppingTime1728000.00,432560.0,95.139375
16,ails2_etaMax0.005_stoppingTime86400.00,431780.0,124.614375
17,ails2_eoh_omega2,431724.0,129.231375
18,ails2_eoh_acc,431623.0,129.449375
19,ails2_etaMax1.000_stoppingTime864000.00,432487.0,106.350375
20,ails2_eoh_acc_large,431733.0,129.432375
21,ails2_etaMax0.020_stoppingTime86400.00,431670.0,129.477375
22,ails2_etaMax0.010_stoppingTime432000.00,431683.0,119.218375
23,filo2,433481.0,184.89808583259583
24,ails2_etaMax1.000_stoppingTime86400.00,432418.0,173.715375
25,ails2_etaMax1.000_stoppingTime864000.00,432439.0,142.880375
26,ails2_etaMax1.000_stoppingTime1728000.00,432381.0,188.738375
27,ails2_etaMax0.005_stoppingTime86400.00,431669.0,188.304375
28,ails2_eoh_omega2,431658.0,189.643375
29,ails2_eoh_acc,431563.0,189.390375
30,ails2_etaMax0.020_stoppingTime86400.00,431606.0,189.787375
31,ails2_eoh_acc_large,431671.0,189.988375
32,ails2_etaMax0.010_stoppingTime432000.00,431631.0,188.441375
33,filo2,433297.0,244.94679808616638
34,ails2_etaMax1.000_stoppingTime86400.00,432410.0,235.853375
35,ails2_eoh_acc,431518.0,250.812375
36,ails2_etaMax0.005_stoppingTime86400.00,431592.0,244.208375
37,ails2_eoh_omega2,431631.0,250.147375
38,ails2_eoh_acc_large,431616.0,251.707375
39,ails2_etaMax0.020_stoppingTime86400.00,431573.0,248.669375
40,ails2_etaMax0.010_stoppingTime432000.00,431581.0,252.596375
41,filo2,433128.0,306.19431924819946
42,ails2_eoh_omega2,431620.0,277.575375
43,ails2_eoh_acc,431489.0,309.730375
44,ails2_etaMax0.005_stoppingTime86400.00,431572.0,311.761375
45,ails2_eoh_acc_large,431609.0,291.343375
46,ails2_etaMax0.020_stoppingTime86400.00,431543.0,308.377375
47,ails2_etaMax0.010_stoppingTime432000.00,431559.0,298.887375
48,ails2_etaMax1.000_stoppingTime86400.00,432373.0,350.067375
49,filo2,432992.0,366.91915464401245
50,ails2_etaMax1.000_stoppingTime864000.00,432429.0,368.833375
51,ails2_eoh_omega2,431594.0,372.524375
52,ails2_eoh_acc,431477.0,372.110375
53,ails2_etaMax0.005_stoppingTime86400.00,431548.0,370.616375
54,ails2_eoh_acc_large,431575.0,371.532375
55,ails2_etaMax0.020_stoppingTime86400.00,431533.0,373.039375
56,ails2_etaMax0.010_stoppingTime432000.00,431535.0,363.697375
57,ails2_etaMax1.000_stoppingTime86400.00,432343.0,353.561375
58,filo2,432894.0,427.48986744880676
59,ails2_etaMax1.000_stoppingTime864000.00,432372.0,415.252375
60,ails2_eoh_omega2,431533.0,428.276375
61,ails2_eoh_acc,431467.0,426.534375
62,ails2_etaMax0.005_stoppingTime86400.00,431523.0,428.536375
63,ails2_eoh_acc_large,431573.0,402.771375
64,ails2_etaMax0.020_stoppingTime86400.00,431489.0,434.171375
65,ails2_etaMax0.010_stoppingTime432000.00,431530.0,424.864375
66,ails2_etaMax1.000_stoppingTime432000.00,432418.0,485.005375
67,filo2,432742.0,487.61951208114624
68,ails2_eoh_acc,431446.0,494.685375
69,ails2_etaMax0.005_stoppingTime86400.00,431509.0,491.549375
70,ails2_eoh_omega2,431494.0,489.671375
71,ails2_eoh_acc_large,431560.0,494.201375
72,ails2_etaMax0.020_stoppingTime86400.00,431482.0,469.725375
73,ails2_etaMax0.010_stoppingTime432000.00,431497.0,486.290375
74,ails2_etaMax1.000_stoppingTime432000.00,432396.0,485.091375
75,filo2,432704.0,548.1879091262817
76,ails2_eoh_acc,431445.0,495.875375
77,ails2_eoh_omega2,431462.0,543.057375
78,ails2_etaMax0.005_stoppingTime86400.00,431506.0,504.646375
79,ails2_eoh_acc_large,431543.0,549.599375
80,ails2_etaMax0.020_stoppingTime86400.00,431473.0,552.008375
81,ails2_etaMax0.010_stoppingTime432000.00,431487.0,580.755375
82,ails2_etaMax1.000_stoppingTime86400.00,432331.0,581.775375
83,ails2_eoh_omega2,431459.0,613.026375
84,ails2_etaMax0.005_stoppingTime86400.00,431494.0,588.565375
85,ails2_eoh_acc_large,431516.0,617.153375
86,ails2_etaMax0.020_stoppingTime86400.00,431469.0,559.188375
87,ails2_eoh_acc,431442.0,620.118375
88,HGS-TV,431617.0,637.2630639076233
89,ails2_etaMax0.010_stoppingTime432000.00,431461.0,625.039375
90,ails2_etaMax1.000_stoppingTime86400.00,432254.0,629.197375
91,ails2_eoh_omega2,431457.0,674.752375
92,ails2_eoh_acc_large,431498.0,667.547375
93,ails2_eoh_acc,431441.0,670.463375
94,ails2_etaMax0.020_stoppingTime86400.00,431468.0,681.679375
95,ails2_etaMax0.010_stoppingTime432000.00,431460.0,705.325375
96,ails2_etaMax0.005_stoppingTime86400.00,431493.0,723.840375
97,ails2_eoh_acc_large,431497.0,725.210375
98,ails2_etaMax0.020_stoppingTime86400.00,431464.0,704.822375
99,ails2_eoh_acc,431439.0,751.416375
100,ails2_etaMax0.010_stoppingTime432000.00,431452.0,710.350375
101,ails2_etaMax1.000_stoppingTime864000.00,432339.0,769.350375
102,ails2_etaMax0.005_stoppingTime86400.00,431491.0,754.885375
103,ails2_eoh_omega2,431456.0,785.531375
104,ails2_eoh_acc_large,431494.0,743.042375
105,ails2_etaMax0.020_stoppingTime86400.00,431457.0,799.151375
106,ails2_eoh_acc,431438.0,815.965375
107,ails2_etaMax0.010_stoppingTime432000.00,431450.0,776.275375
108,ails2_etaMax0.005_stoppingTime86400.00,431482.0,827.067375
109,ails2_eoh_acc_large,431488.0,855.003375
110,ails2_etaMax0.020_stoppingTime86400.00,431435.0,842.830375
111,ails2_eoh_acc,431435.0,848.785375
112,ails2_etaMax0.010_stoppingTime432000.00,431448.0,847.016375
113,ails2_eoh_omega2,431455.0,896.846375
114,ails2_etaMax0.005_stoppingTime86400.00,431480.0,850.931375
115,ails2_eoh_acc_large,431487.0,867.715375
116,ails2_etaMax0.020_stoppingTime86400.00,431431.0,913.691375
117,ails2_etaMax1.000_stoppingTime1728000.00,432374.0,930.401375
118,ails2_eoh_acc,431434.0,889.464375
119,ails2_eoh_omega2,431450.0,933.613375
120,ails2_eoh_acc_large,431481.0,983.007375
121,ails2_etaMax1.000_stoppingTime1728000.00,432334.0,930.548375
122,ails2_eoh_acc,431431.0,970.347375
123,ails2_etaMax0.010_stoppingTime432000.00,431446.0,999.461375
124,ails2_eoh_acc_large,431464.0,1025.400375
125,ails2_eoh_acc,431430.0,1040.262375
126,ails2_etaMax0.010_stoppingTime432000.00,431440.0,1048.947375
127,ails2_etaMax0.005_stoppingTime86400.00,431479.0,1101.108375
128,ails2_eoh_acc_large,431427.0,1102.116375
129,ails2_eoh_omega2,431449.0,1110.369375
130,ails2_etaMax0.020_stoppingTime86400.00,431430.0,1112.743375
131,ails2_eoh_acc,431424.0,1107.957375
132,ails2_etaMax0.010_stoppingTime432000.00,431438.0,1108.805375
133,ails2_etaMax1.000_stoppingTime432000.00,432391.0,1127.094375
134,ails2_eoh_acc_large,431418.0,1157.848375
135,ails2_eoh_omega2,431445.0,1114.041375
136,ails2_etaMax0.020_stoppingTime86400.00,431429.0,1112.881375
137,ails2_eoh_acc,431421.0,1166.684375
138,ails2_etaMax0.010_stoppingTime432000.00,431436.0,1149.119375
139,ails2_etaMax1.000_stoppingTime432000.00,432381.0,1142.040375
140,ails2_eoh_acc_large,431410.0,1206.051375
141,ails2_etaMax0.020_stoppingTime86400.00,431394.0,1225.424375
142,ails2_etaMax0.010_stoppingTime432000.00,431435.0,1212.302375
143,ails2_etaMax0.005_stoppingTime86400.00,431478.0,1294.117375
144,ails2_etaMax0.020_stoppingTime86400.00,431388.0,1288.054375
145,ails2_etaMax0.010_stoppingTime432000.00,431432.0,1252.359375
146,ails2_etaMax0.005_stoppingTime86400.00,431474.0,1299.802375
147,ails2_etaMax0.010_stoppingTime432000.00,431430.0,1334.770375
148,ails2_etaMax1.000_stoppingTime864000.00,432331.0,1399.295375
149,ails2_eoh_omega2,431443.0,1409.103375
150,ails2_eoh_omega2,431440.0,1429.496375
151,ails2_etaMax0.005_stoppingTime86400.00,431473.0,1504.323375
152,ails2_eoh_omega2,431435.0,1525.362375
153,ails2_eoh_acc,431416.0,1552.075375
