0.1970;131505.0000;1.0000
0.2088;130762.0000;1.0000
0.2341;130530.0000;1.0000
0.2479;130462.0000;1.0000
0.2567;130232.0000;1.0000
0.2611;130149.0000;1.0000
0.2737;130015.0000;1.0000
0.2792;129553.0000;1.0000
0.2823;129398.0000;1.0000
0.2858;129397.0000;1.0000
0.2905;128792.0000;1.0000
0.2953;128770.0000;1.0000
0.3294;128429.0000;1.0000
0.4323;128411.0000;0.9959
0.4360;128125.0000;0.9957
0.5113;128124.0000;0.9912
0.5160;128043.0000;0.9912
0.5245;128003.0000;0.9909
0.5291;127927.0000;0.9908
0.5332;127879.0000;0.9908
0.5352;127821.0000;0.9907
0.5434;127797.0000;0.9905
0.5454;127733.0000;0.9904
0.5473;127668.0000;0.9904
0.5498;127638.0000;0.9904
0.6032;127540.0000;0.9889
0.6057;127495.0000;0.9888
0.6068;127488.0000;0.9888
0.6077;127475.0000;0.9888
0.6092;127419.0000;0.9888
0.6104;127407.0000;0.9887
0.6150;127396.0000;0.9886
0.6663;127379.0000;0.9876
0.6687;127359.0000;0.9876
0.6708;127331.0000;0.9876
0.6797;127308.0000;0.9874
0.6956;127194.0000;0.9871
0.7046;127151.0000;0.9870
0.7073;127119.0000;0.9870
0.7095;127047.0000;0.9870
0.7182;126853.0000;0.9868
0.7208;126780.0000;0.9868
0.8633;126751.0000;0.9837
1.1632;126704.0000;0.9776
1.1772;126701.0000;0.9773
1.1850;126664.0000;0.9772
1.1860;126600.0000;0.9772
1.2278;126581.0000;0.9764
1.2666;126549.0000;0.9755
1.4946;126530.0000;0.9716
1.5084;126446.0000;0.9713
1.5108;126419.0000;0.9713
1.5435;126361.0000;0.9708
2.0846;126313.0000;0.9606
2.0884;126293.0000;0.9606
2.5075;126289.0000;0.9528
2.5123;126286.0000;0.9527
3.7268;126249.0000;0.9312
3.7283;126215.0000;0.9312
3.7293;126171.0000;0.9312
3.7305;126141.0000;0.9312
5.5714;126091.0000;0.9017
5.5732;126082.0000;0.9017
5.5750;125981.0000;0.9016
6.9403;125874.0000;0.8804
15.6745;125861.0000;0.7549
15.6769;125837.0000;0.7549
15.6781;125813.0000;0.7549
15.6800;125776.0000;0.7549
15.7912;125724.0000;0.7535
17.1672;125712.0000;0.7354
20.4443;125686.0000;0.6927
21.6402;125567.0000;0.6775
21.6447;125456.0000;0.6775
31.1410;125449.0000;0.5745
31.2806;125437.0000;0.5731
31.4763;125436.0000;0.5712
31.5076;125411.0000;0.5710
40.0918;125388.0000;0.4951
40.1059;125381.0000;0.4950
40.1080;125378.0000;0.4950
40.1126;125352.0000;0.4950
40.1176;125336.0000;0.4949
40.1190;125293.0000;0.4949
40.1207;125292.0000;0.4949
40.2221;125291.0000;0.4941
43.5347;125248.0000;0.4662
43.5806;125220.0000;0.4658
43.5831;125195.0000;0.4658
43.5920;125177.0000;0.4657
43.6351;125149.0000;0.4654
44.0198;125148.0000;0.4625
44.0256;125128.0000;0.4625
44.0269;125122.0000;0.4624
59.9299;125074.0000;0.3541
63.1535;125064.0000;0.3371
63.3238;125016.0000;0.3362
63.4152;125007.0000;0.3357
63.4399;124997.0000;0.3355
63.5034;124991.0000;0.3352
63.5212;124978.0000;0.3351
63.7027;124960.0000;0.3341
64.0169;124953.0000;0.3325
64.0818;124945.0000;0.3321
64.3889;124936.0000;0.3305
64.5400;124932.0000;0.3296
64.5832;124920.0000;0.3294
75.6470;124909.0000;0.2733
79.5394;124906.0000;0.2561
79.5999;124892.0000;0.2558
79.6047;124874.0000;0.2558
79.6127;124867.0000;0.2558
79.6691;124864.0000;0.2555
79.6828;124858.0000;0.2555
79.7784;124849.0000;0.2551
79.8260;124840.0000;0.2549
80.2005;124792.0000;0.2534
83.6021;124791.0000;0.2399
83.6082;124768.0000;0.2399
83.6091;124762.0000;0.2398
102.3699;124755.0000;0.1789
102.3756;124733.0000;0.1789
103.3574;124729.0000;0.1763
103.3650;124720.0000;0.1763
103.3723;124719.0000;0.1763
103.3831;124699.0000;0.1762
103.4439;124698.0000;0.1761
103.5336;124680.0000;0.1759
105.5411;124653.0000;0.1706
105.5556;124651.0000;0.1706
105.5865;124644.0000;0.1705
106.7282;124643.0000;0.1677
106.7327;124634.0000;0.1676
106.7357;124623.0000;0.1676
106.7462;124617.0000;0.1676
108.4712;124616.0000;0.1634
113.7422;124614.0000;0.1513
113.7687;124605.0000;0.1512
113.7904;124601.0000;0.1512
114.2233;124598.0000;0.1502
114.4230;124591.0000;0.1498
114.4435;124587.0000;0.1498
114.4632;124586.0000;0.1497
114.4834;124572.0000;0.1497
114.5709;124571.0000;0.1495
114.6011;124563.0000;0.1494
114.6780;124552.0000;0.1493
118.2181;124540.0000;0.1417
118.2220;124512.0000;0.1417
118.2446;124501.0000;0.1417
118.2688;124500.0000;0.1416
118.2761;124486.0000;0.1416
140.7013;124474.0000;0.0999
140.7158;124470.0000;0.0999
140.9360;124469.0000;0.0995
150.4559;124468.0000;0.0852
165.3859;124467.0000;0.0682
165.4440;124465.0000;0.0681
165.4648;124463.0000;0.0681
165.5111;124460.0000;0.0681
165.7327;124453.0000;0.0679
165.7581;124448.0000;0.0678
165.8041;124442.0000;0.0678
165.8128;124440.0000;0.0678
165.9325;124439.0000;0.0676
169.9090;124432.0000;0.0636
170.0383;124426.0000;0.0635
171.4482;124422.0000;0.0622
175.9830;124419.0000;0.0580
176.0237;124415.0000;0.0580
176.1924;124409.0000;0.0578
176.3371;124408.0000;0.0577
176.3389;124404.0000;0.0577
176.3948;124398.0000;0.0577
176.4420;124397.0000;0.0576
176.6825;124385.0000;0.0574
176.9412;124380.0000;0.0572
176.9978;124378.0000;0.0572
177.0051;124367.0000;0.0571
196.1228;124364.0000;0.0429
196.1282;124363.0000;0.0429
197.3438;124361.0000;0.0422
202.1888;124359.0000;0.0392
204.7814;124355.0000;0.0377
204.8696;124351.0000;0.0377
204.9860;124348.0000;0.0376
205.0026;124341.0000;0.0376
238.8183;124339.0000;0.0225
238.9284;124336.0000;0.0224
703.3105;124335.0000;0.0133
706.9015;124333.0000;0.0125
706.9211;124332.0000;0.0124
706.9642;124327.0000;0.0124
707.2962;124326.0000;0.0124
707.5081;124325.0000;0.0123
