id,algo_name,score,runningtime
1,ails2_etaMax0.010_stoppingTime432000.00,247542.0,62.4805810546875
2,ails2_eoh_acc,247977.0,63.4885810546875
3,ails2_etaMax1.000_stoppingTime86400.00,249171.0,44.3415810546875
4,ails2_etaMax0.005_stoppingTime86400.00,247558.0,62.7395810546875
5,ails2_eoh_acc_large,247517.0,63.6115810546875
6,ails2_eoh_omega2,247583.0,56.8155810546875
7,ails2_etaMax1.000_stoppingTime1728000.00,249370.0,45.2415810546875
8,ails2_etaMax1.000_stoppingTime864000.00,249105.0,52.8785810546875
9,ails2_etaMax0.020_stoppingTime86400.00,247925.0,64.1015810546875
10,ails2_etaMax1.000_stoppingTime432000.00,248773.0,46.0915810546875
11,ails2_etaMax1.000_stoppingTime86400.00,248991.0,121.9845810546875
12,ails2_eoh_omega2,247267.0,123.1345810546875
13,ails2_eoh_acc,247663.0,123.3765810546875
14,ails2_etaMax0.005_stoppingTime86400.00,247357.0,124.3215810546875
15,ails2_eoh_acc_large,247363.0,124.3475810546875
16,ails2_etaMax1.000_stoppingTime1728000.00,249276.0,111.0885810546875
17,ails2_etaMax0.010_stoppingTime432000.00,247363.0,124.1025810546875
18,ails2_etaMax0.020_stoppingTime86400.00,247518.0,125.3625810546875
19,ails2_etaMax1.000_stoppingTime864000.00,248930.0,71.8655810546875
20,ails2_etaMax1.000_stoppingTime432000.00,248768.0,156.4065810546875
21,ails2_etaMax0.010_stoppingTime432000.00,247209.0,185.6575810546875
22,ails2_etaMax1.000_stoppingTime1728000.00,249107.0,129.9305810546875
23,ails2_eoh_acc_large,247299.0,185.3195810546875
24,ails2_etaMax0.005_stoppingTime86400.00,247249.0,179.4865810546875
25,ails2_eoh_acc,247548.0,184.8265810546875
26,ails2_eoh_omega2,247212.0,180.1735810546875
27,ails2_etaMax0.020_stoppingTime86400.00,247316.0,184.1425810546875
28,ails2_etaMax1.000_stoppingTime864000.00,248928.0,212.9215810546875
29,ails2_etaMax1.000_stoppingTime432000.00,248683.0,156.4805810546875
30,ails2_etaMax1.000_stoppingTime86400.00,248971.0,223.3025810546875
31,ails2_eoh_omega2,247172.0,229.0345810546875
32,ails2_etaMax0.005_stoppingTime86400.00,247194.0,246.4395810546875
33,ails2_eoh_acc,247418.0,246.5825810546875
34,ails2_eoh_acc_large,247233.0,244.9015810546875
35,ails2_etaMax0.010_stoppingTime432000.00,247142.0,238.3725810546875
36,ails2_etaMax0.020_stoppingTime86400.00,247134.0,244.9035810546875
37,ails2_etaMax1.000_stoppingTime1728000.00,249082.0,255.5035810546875
38,ails2_etaMax1.000_stoppingTime864000.00,248831.0,271.1845810546875
39,ails2_etaMax1.000_stoppingTime86400.00,248732.0,271.7985810546875
40,HGS-TV,247251.0,292.5024518966675
41,ails2_eoh_acc,247328.0,304.2515810546875
42,ails2_eoh_omega2,247102.0,281.9255810546875
43,ails2_eoh_acc_large,247142.0,306.5365810546875
44,ails2_etaMax0.010_stoppingTime432000.00,247110.0,305.2245810546875
45,ails2_etaMax0.005_stoppingTime86400.00,247145.0,307.2095810546875
46,ails2_etaMax0.020_stoppingTime86400.00,247125.0,301.0495810546875
47,ails2_etaMax1.000_stoppingTime1728000.00,248904.0,255.8105810546875
48,filo2,251555.0,360.9084243774414
49,ails2_eoh_omega2,247058.0,367.2285810546875
50,ails2_etaMax0.005_stoppingTime86400.00,247106.0,364.0765810546875
51,ails2_etaMax0.010_stoppingTime432000.00,247078.0,367.0225810546875
52,ails2_eoh_acc_large,247126.0,359.2505810546875
53,ails2_eoh_acc,247303.0,365.9745810546875
54,ails2_etaMax0.020_stoppingTime86400.00,247088.0,368.5805810546875
55,ails2_etaMax1.000_stoppingTime1728000.00,248898.0,333.3865810546875
56,filo2,250981.0,420.981796503067
57,HGS-TV,247249.0,422.4041676521301
58,ails2_etaMax1.000_stoppingTime86400.00,248659.0,427.8145810546875
59,ails2_eoh_acc_large,247107.0,421.7305810546875
60,ails2_etaMax0.005_stoppingTime86400.00,247072.0,423.0835810546875
61,ails2_eoh_omega2,247053.0,379.2785810546875
62,ails2_eoh_acc,247277.0,427.6355810546875
63,ails2_etaMax0.020_stoppingTime86400.00,247067.0,429.2065810546875
64,filo2,250699.0,481.02194118499756
65,ails2_etaMax0.010_stoppingTime432000.00,247077.0,481.9005810546875
66,ails2_etaMax1.000_stoppingTime1728000.00,248897.0,486.4165810546875
67,HGS-TV,247247.0,488.58603286743164
68,ails2_etaMax1.000_stoppingTime86400.00,248595.0,448.7315810546875
69,ails2_eoh_acc_large,247093.0,487.8545810546875
70,ails2_eoh_omega2,247000.0,489.2835810546875
71,ails2_eoh_acc,247240.0,490.6795810546875
72,ails2_etaMax0.005_stoppingTime86400.00,247047.0,453.1445810546875
73,ails2_etaMax0.020_stoppingTime86400.00,247054.0,457.5295810546875
74,ails2_etaMax1.000_stoppingTime864000.00,248797.0,519.0335810546875
75,ails2_etaMax1.000_stoppingTime432000.00,248664.0,521.9655810546875
76,filo2,250465.0,541.0670895576477
77,ails2_etaMax0.010_stoppingTime432000.00,247052.0,541.8235810546875
78,ails2_etaMax1.000_stoppingTime1728000.00,248823.0,540.5805810546875
79,ails2_eoh_acc,247212.0,538.4035810546875
80,ails2_eoh_omega2,246988.0,542.0475810546875
81,ails2_eoh_acc_large,247085.0,544.3535810546875
82,ails2_etaMax0.005_stoppingTime86400.00,247044.0,501.9365810546875
83,ails2_etaMax0.020_stoppingTime86400.00,247036.0,539.8535810546875
84,ails2_etaMax1.000_stoppingTime864000.00,248756.0,519.0465810546875
85,ails2_etaMax1.000_stoppingTime432000.00,248582.0,522.0015810546874
86,ails2_etaMax0.010_stoppingTime432000.00,247046.0,581.3365810546875
87,ails2_eoh_acc,247203.0,607.2415810546875
88,ails2_etaMax0.005_stoppingTime86400.00,247016.0,599.2895810546875
89,ails2_eoh_acc_large,247080.0,585.5825810546875
90,ails2_eoh_omega2,246987.0,554.3445810546875
91,HGS-TV,247241.0,625.5225982666016
92,ails2_etaMax0.020_stoppingTime86400.00,247035.0,633.3845810546875
93,ails2_etaMax0.010_stoppingTime432000.00,247018.0,663.9185810546875
94,ails2_eoh_acc_large,247064.0,669.4415810546875
95,ails2_eoh_acc,247199.0,656.8655810546875
96,ails2_eoh_omega2,246947.0,673.5725810546875
97,ails2_etaMax1.000_stoppingTime864000.00,248745.0,684.2635810546875
98,HGS-TV,247240.0,685.6608972549438
99,ails2_etaMax0.020_stoppingTime86400.00,247027.0,659.5085810546875
100,ails2_etaMax0.005_stoppingTime86400.00,247015.0,706.1435810546875
101,ails2_eoh_omega2,246935.0,731.1105810546875
102,ails2_eoh_acc,247193.0,733.7805810546874
103,ails2_eoh_acc_large,247059.0,733.6575810546875
104,ails2_etaMax1.000_stoppingTime864000.00,248726.0,684.2925810546875
105,ails2_etaMax0.020_stoppingTime86400.00,247020.0,752.5295810546875
106,ails2_etaMax0.005_stoppingTime86400.00,246994.0,730.0735810546875
107,ails2_etaMax0.010_stoppingTime432000.00,247017.0,770.8065810546875
108,ails2_eoh_acc_large,247034.0,792.5655810546875
109,ails2_eoh_omega2,246927.0,745.8515810546875
110,ails2_eoh_acc,247190.0,770.3535810546875
111,ails2_etaMax0.020_stoppingTime86400.00,246981.0,815.1455810546875
112,ails2_etaMax0.010_stoppingTime432000.00,246975.0,831.0375810546875
113,ails2_etaMax0.005_stoppingTime86400.00,246993.0,845.2785810546875
114,ails2_eoh_acc_large,247028.0,851.8305810546875
115,ails2_eoh_omega2,246922.0,840.7575810546875
116,ails2_eoh_acc,247179.0,851.6255810546875
117,ails2_etaMax1.000_stoppingTime864000.00,248723.0,859.7805810546874
118,ails2_etaMax0.020_stoppingTime86400.00,246970.0,838.5035810546875
119,HGS-TV,247234.0,892.1514885425568
120,ails2_etaMax0.010_stoppingTime432000.00,246933.0,874.5395810546875
121,ails2_etaMax0.005_stoppingTime86400.00,246989.0,850.9505810546875
122,ails2_eoh_omega2,246920.0,857.1255810546875
123,ails2_eoh_acc_large,247025.0,895.4405810546875
124,ails2_eoh_acc,247153.0,899.0965810546875
125,ails2_etaMax1.000_stoppingTime864000.00,248690.0,859.7965810546875
126,ails2_etaMax0.005_stoppingTime86400.00,246970.0,960.9075810546875
127,ails2_etaMax0.010_stoppingTime432000.00,246931.0,972.0735810546875
128,ails2_eoh_acc_large,247020.0,976.2325810546874
129,ails2_eoh_omega2,246905.0,963.0385810546875
130,ails2_eoh_acc,247151.0,924.0105810546875
131,ails2_etaMax0.020_stoppingTime86400.00,246968.0,1012.8335810546876
132,ails2_etaMax0.010_stoppingTime432000.00,246924.0,976.4135810546875
133,HGS-TV,247227.0,1034.479663848877
134,ails2_eoh_acc,247148.0,1036.3135810546876
135,ails2_eoh_omega2,246902.0,1007.8945810546875
136,ails2_eoh_acc_large,246985.0,1032.1515810546875
137,ails2_etaMax0.020_stoppingTime86400.00,246948.0,1040.1505810546876
138,ails2_etaMax0.005_stoppingTime86400.00,246969.0,1075.3715810546876
139,ails2_eoh_acc,247134.0,1097.8275810546875
140,ails2_eoh_acc_large,246973.0,1091.3745810546875
141,ails2_eoh_omega2,246894.0,1075.7465810546876
142,HGS-TV,247226.0,1134.7030005455017
143,ails2_etaMax0.020_stoppingTime86400.00,246941.0,1076.5055810546876
144,ails2_etaMax0.005_stoppingTime86400.00,246951.0,1129.8575810546874
145,ails2_etaMax0.010_stoppingTime432000.00,246923.0,1141.0135810546874
146,ails2_eoh_acc,247130.0,1145.1355810546875
147,ails2_eoh_acc_large,246965.0,1160.7625810546874
148,ails2_eoh_omega2,246879.0,1154.8525810546876
149,ails2_etaMax0.020_stoppingTime86400.00,246938.0,1186.7805810546874
