id,algo_name,score,runningtime
1,filo2,1207214.0,62.644481897354126
2,ails2_eoh_omega2,1204805.0,69.58628125
3,ails2_etaMax0.020_stoppingTime86400.00,1205131.0,69.62428125
4,ails2_etaMax1.000_stoppingTime1728000.00,1205667.0,68.83728125
5,ails2_etaMax1.000_stoppingTime86400.00,1205832.0,70.47628125
6,ails2_etaMax0.005_stoppingTime86400.00,1205174.0,70.55828125
7,ails2_etaMax0.010_stoppingTime432000.00,1205212.0,71.63528125
8,ails2_eoh_acc_large,1204986.0,71.55728125
9,ails2_etaMax1.000_stoppingTime864000.00,1205718.0,72.05628125
10,ails2_etaMax1.000_stoppingTime432000.00,1205805.0,71.79928125
11,ails2_eoh_acc,1205303.0,72.72928125
12,filo2,1206845.0,122.91794466972351
13,ails2_etaMax0.020_stoppingTime86400.00,1204307.0,128.16728125
14,ails2_eoh_omega2,1204176.0,129.96928125
15,ails2_etaMax0.005_stoppingTime86400.00,1204320.0,131.57228125
16,ails2_etaMax1.000_stoppingTime86400.00,1205084.0,117.61928125
17,ails2_etaMax1.000_stoppingTime1728000.00,1205075.0,108.28228125
18,ails2_eoh_acc_large,1204365.0,131.41828125
19,ails2_etaMax0.010_stoppingTime432000.00,1204392.0,132.16428125
20,ails2_etaMax1.000_stoppingTime864000.00,1205363.0,111.64328125
21,ails2_etaMax1.000_stoppingTime432000.00,1205018.0,129.23628125
22,ails2_eoh_acc,1204228.0,132.51328125
23,filo2,1206479.0,183.04932022094727
24,ails2_etaMax0.020_stoppingTime86400.00,1204160.0,190.39028125
25,ails2_eoh_omega2,1204103.0,191.49328125
26,ails2_etaMax0.005_stoppingTime86400.00,1204102.0,191.94828125
27,ails2_etaMax1.000_stoppingTime86400.00,1204912.0,182.54328125
28,ails2_eoh_acc_large,1204302.0,190.98028125
29,ails2_etaMax0.010_stoppingTime432000.00,1204161.0,189.65128125
30,ails2_etaMax1.000_stoppingTime432000.00,1204979.0,138.18228125
31,ails2_etaMax1.000_stoppingTime864000.00,1205301.0,184.58528125
32,ails2_eoh_acc,1204116.0,193.13228125
33,filo2,1206345.0,243.79905557632446
34,ails2_eoh_omega2,1204059.0,252.39228125
35,ails2_etaMax0.020_stoppingTime86400.00,1204065.0,245.61828125
36,ails2_etaMax0.005_stoppingTime86400.00,1203966.0,252.00528125
37,ails2_eoh_acc_large,1204183.0,254.54128125
38,ails2_etaMax0.010_stoppingTime432000.00,1204116.0,253.13328125
39,ails2_etaMax1.000_stoppingTime864000.00,1205238.0,248.99828125
40,ails2_eoh_acc,1204080.0,248.98828125
41,filo2,1206102.0,304.08290457725525
42,ails2_eoh_omega2,1204044.0,304.47728125
43,ails2_etaMax0.020_stoppingTime86400.00,1204056.0,293.99828125
44,ails2_etaMax0.005_stoppingTime86400.00,1203877.0,314.47628125
45,ails2_eoh_acc_large,1204092.0,314.92728125
46,ails2_etaMax0.010_stoppingTime432000.00,1204087.0,307.84828125
47,ails2_etaMax1.000_stoppingTime864000.00,1205142.0,302.05028125
48,ails2_eoh_acc,1204031.0,316.31328125
49,ails2_etaMax1.000_stoppingTime432000.00,1204977.0,318.45128125
50,ails2_etaMax1.000_stoppingTime1728000.00,1205072.0,363.21728125
51,filo2,1206033.0,365.37135314941406
52,ails2_eoh_omega2,1204037.0,367.25028125
53,ails2_etaMax0.020_stoppingTime86400.00,1204047.0,372.17328125
54,ails2_etaMax0.005_stoppingTime86400.00,1203874.0,366.35028125
55,ails2_eoh_acc_large,1204075.0,352.33228125
56,ails2_etaMax0.010_stoppingTime432000.00,1204074.0,371.39628125
57,ails2_eoh_acc,1203997.0,376.41028125
58,ails2_etaMax1.000_stoppingTime432000.00,1204960.0,364.85328125
59,ails2_etaMax1.000_stoppingTime86400.00,1204888.0,422.63228125
60,ails2_etaMax1.000_stoppingTime1728000.00,1205033.0,367.97228125
61,filo2,1205918.0,427.83499217033386
62,ails2_eoh_omega2,1204014.0,433.47528125
63,ails2_etaMax0.020_stoppingTime86400.00,1204029.0,431.76228125
64,ails2_etaMax0.005_stoppingTime86400.00,1203864.0,434.53728125
65,ails2_eoh_acc_large,1204070.0,399.83428125
66,ails2_etaMax0.010_stoppingTime432000.00,1204062.0,427.60728125
67,ails2_eoh_acc,1203989.0,415.47228125
68,ails2_etaMax1.000_stoppingTime1728000.00,1204926.0,466.08528125
69,filo2,1205853.0,488.4104104042053
70,ails2_etaMax0.020_stoppingTime86400.00,1204011.0,495.88828125
71,ails2_eoh_omega2,1203980.0,491.87928125
72,ails2_etaMax0.005_stoppingTime86400.00,1203861.0,496.87428125
73,ails2_eoh_acc_large,1204044.0,496.30228125
74,ails2_etaMax0.010_stoppingTime432000.00,1204057.0,494.13928125
75,ails2_eoh_acc,1203986.0,473.12028125
76,ails2_etaMax1.000_stoppingTime432000.00,1204958.0,507.72928125
77,ails2_etaMax1.000_stoppingTime864000.00,1205138.0,510.48228125
78,filo2,1205745.0,549.3380153179169
79,ails2_eoh_omega2,1203955.0,552.02128125
80,ails2_etaMax0.020_stoppingTime86400.00,1203999.0,552.78828125
81,ails2_etaMax0.005_stoppingTime86400.00,1203856.0,551.99628125
82,ails2_etaMax0.010_stoppingTime432000.00,1204018.0,552.51328125
83,ails2_eoh_acc_large,1204016.0,548.55028125
84,ails2_eoh_acc,1203977.0,541.86428125
85,ails2_etaMax1.000_stoppingTime864000.00,1205085.0,511.96128125
86,ails2_etaMax1.000_stoppingTime432000.00,1204946.0,581.17828125
87,ails2_etaMax1.000_stoppingTime1728000.00,1204900.0,607.02728125
88,filo2,1205703.0,609.702642917633
89,ails2_etaMax0.020_stoppingTime86400.00,1203980.0,617.66628125
90,ails2_eoh_omega2,1203933.0,608.58428125
91,ails2_etaMax0.005_stoppingTime86400.00,1203854.0,597.16928125
92,ails2_etaMax0.010_stoppingTime432000.00,1204011.0,602.50528125
93,ails2_eoh_acc_large,1204006.0,611.63828125
94,ails2_eoh_acc,1203973.0,598.24228125
95,ails2_etaMax1.000_stoppingTime432000.00,1204866.0,634.07528125
96,filo2,1205584.0,670.0119874477386
97,ails2_eoh_omega2,1203928.0,652.18128125
98,ails2_etaMax0.020_stoppingTime86400.00,1203955.0,677.69728125
99,ails2_etaMax0.005_stoppingTime86400.00,1203844.0,679.72228125
100,ails2_eoh_acc_large,1203961.0,680.13428125
101,ails2_etaMax0.010_stoppingTime432000.00,1203999.0,680.33228125
102,ails2_eoh_acc,1203972.0,632.58228125
103,ails2_etaMax1.000_stoppingTime86400.00,1204877.0,699.67128125
104,filo2,1205501.0,730.3687117099762
105,ails2_etaMax0.020_stoppingTime86400.00,1203942.0,735.39628125
106,ails2_eoh_omega2,1203917.0,692.70028125
107,ails2_etaMax0.005_stoppingTime86400.00,1203841.0,681.58928125
108,ails2_etaMax0.010_stoppingTime432000.00,1203984.0,739.15728125
109,ails2_eoh_acc_large,1203955.0,738.81128125
110,ails2_eoh_acc,1203967.0,722.43128125
111,ails2_etaMax1.000_stoppingTime86400.00,1204865.0,778.24228125
112,filo2,1205439.0,790.5969479084015
113,ails2_etaMax1.000_stoppingTime864000.00,1205050.0,792.14828125
114,ails2_eoh_omega2,1203902.0,797.52328125
115,ails2_etaMax0.020_stoppingTime86400.00,1203938.0,795.23928125
116,ails2_etaMax0.005_stoppingTime86400.00,1203836.0,769.79328125
117,ails2_eoh_acc_large,1203934.0,800.63328125
118,ails2_etaMax0.010_stoppingTime432000.00,1203967.0,766.87228125
119,ails2_eoh_acc,1203964.0,761.46228125
120,ails2_etaMax1.000_stoppingTime86400.00,1204813.0,783.22628125
121,filo2,1205375.0,850.9260823726654
122,ails2_etaMax1.000_stoppingTime864000.00,1205035.0,829.49628125
123,ails2_eoh_omega2,1203899.0,847.62428125
124,ails2_etaMax0.020_stoppingTime86400.00,1203932.0,806.33928125
125,ails2_eoh_acc_large,1203905.0,859.10228125
126,ails2_etaMax0.010_stoppingTime432000.00,1203961.0,859.73128125
127,ails2_etaMax0.005_stoppingTime86400.00,1203835.0,865.30828125
128,ails2_eoh_acc,1203960.0,863.93028125
129,ails2_etaMax1.000_stoppingTime864000.00,1205030.0,868.02228125
130,ails2_etaMax0.010_stoppingTime432000.00,1203956.0,887.23328125
131,ails2_etaMax0.005_stoppingTime86400.00,1203834.0,867.13228125
132,ails2_eoh_acc_large,1203890.0,923.12028125
133,ails2_eoh_acc,1203956.0,914.07328125
134,ails2_eoh_omega2,1203898.0,933.06728125
135,ails2_etaMax0.020_stoppingTime86400.00,1203931.0,950.35028125
136,ails2_etaMax1.000_stoppingTime864000.00,1204940.0,932.96928125
137,ails2_etaMax0.010_stoppingTime432000.00,1203955.0,962.64328125
138,ails2_eoh_acc_large,1203879.0,984.81128125
139,ails2_etaMax0.005_stoppingTime86400.00,1203832.0,976.62928125
140,ails2_eoh_omega2,1203894.0,958.81428125
141,ails2_etaMax0.020_stoppingTime86400.00,1203924.0,1008.60228125
142,ails2_etaMax0.005_stoppingTime86400.00,1203828.0,1041.71728125
143,ails2_etaMax0.010_stoppingTime432000.00,1203947.0,1044.62928125
144,ails2_eoh_acc_large,1203872.0,1030.35428125
145,ails2_etaMax1.000_stoppingTime1728000.00,1204869.0,1048.59028125
146,ails2_eoh_omega2,1203891.0,1050.52228125
147,ails2_etaMax0.020_stoppingTime86400.00,1203920.0,1065.71828125
148,ails2_eoh_acc_large,1203869.0,1082.48028125
149,ails2_etaMax0.005_stoppingTime86400.00,1203812.0,1092.89328125
150,ails2_etaMax1.000_stoppingTime1728000.00,1204867.0,1048.65028125
151,ails2_etaMax0.010_stoppingTime432000.00,1203946.0,1114.10928125
152,ails2_eoh_omega2,1203885.0,1063.86628125
153,ails2_etaMax1.000_stoppingTime864000.00,1204914.0,1127.57728125
154,ails2_etaMax1.000_stoppingTime86400.00,1204807.0,1128.62628125
155,ails2_etaMax0.020_stoppingTime86400.00,1203919.0,1135.01128125
156,ails2_eoh_acc_large,1203867.0,1168.26128125
157,ails2_etaMax0.005_stoppingTime86400.00,1203806.0,1157.74728125
158,ails2_etaMax0.010_stoppingTime432000.00,1203944.0,1148.87728125
159,ails2_eoh_omega2,1203884.0,1139.24028125
160,ails2_etaMax1.000_stoppingTime864000.00,1204903.0,1137.28928125
161,ails2_etaMax1.000_stoppingTime86400.00,1204788.0,1134.13328125
162,ails2_etaMax0.020_stoppingTime86400.00,1203911.0,1170.89628125
163,ails2_eoh_acc,1203955.0,1198.11028125
164,ails2_eoh_omega2,1203883.0,1220.33428125
165,ails2_etaMax0.010_stoppingTime432000.00,1203943.0,1240.30228125
166,ails2_etaMax1.000_stoppingTime864000.00,1204892.0,1199.98928125
167,ails2_etaMax0.005_stoppingTime86400.00,1203805.0,1255.87228125
168,ails2_eoh_acc,1203951.0,1228.29228125
169,ails2_eoh_omega2,1203877.0,1260.53128125
170,ails2_etaMax1.000_stoppingTime432000.00,1204863.0,1310.00028125
171,ails2_etaMax1.000_stoppingTime864000.00,1204880.0,1265.44428125
172,ails2_etaMax0.005_stoppingTime86400.00,1203779.0,1309.12228125
173,ails2_eoh_acc,1203950.0,1315.81528125
174,ails2_eoh_acc_large,1203865.0,1352.53928125
175,ails2_etaMax0.010_stoppingTime432000.00,1203936.0,1354.81228125
176,ails2_etaMax0.005_stoppingTime86400.00,1203775.0,1363.96928125
177,ails2_eoh_acc,1203941.0,1363.70728125
