algo_name,seed_count
ails2_etaMax0.005_stoppingTime86400.00,3
ails2_eoh_acc,13
ails2_eoh_acc_large,4
ails2_etaMax0.010_stoppingTime432000.00,1
ails2_etaMax1.000_stoppingTime86400.00,2
HGS-TV,29
ails2_etaMax1.000_stoppingTime432000.00,4
ails2_etaMax1.000_stoppingTime864000.00,5
