id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_etaMax0.020_stoppingTime86400.00,522016.0,ails2_etaMax0.020_stoppingTime86400.00,521628.0,388.0,7201.252420902252
2,ails2_etaMax0.020_stoppingTime86400.00,521628.0,ails2_etaMax0.005_stoppingTime86400.00,521598.0,30.0,10802.41257405281
3,ails2_etaMax0.005_stoppingTime86400.00,521598.0,HGS-TV,521592.0,6.0,14403.680019378662
4,HGS-TV,521592.0,ails2_etaMax0.020_stoppingTime86400.00,521498.0,94.0,18004.82909655571
5,ails2_etaMax0.020_stoppingTime86400.00,521498.0,HGS-TV,521488.0,10.0,21606.3645260334
6,HGS-TV,521488.0,HGS-TV,521456.0,32.0,25207.54861688614
7,HGS-TV,521456.0,HGS-TV,521449.0,7.0,28808.55771803856
8,HGS-TV,521449.0,HGS-TV,521448.0,1.0,32409.804672956467
9,HGS-TV,521448.0,ails2_etaMax1.000_stoppingTime86400.00,521419.0,29.0,64811.67680454254
10,ails2_etaMax1.000_stoppingTime86400.00,521419.0,ails2_eoh_acc_large,521387.0,32.0,68413.88485240936
11,ails2_eoh_acc_large,521387.0,ails2_eoh_acc_large,521363.0,24.0,72014.8205564022
12,ails2_eoh_acc_large,521363.0,ails2_etaMax1.000_stoppingTime86400.00,521362.0,1.0,75615.73267102242
13,ails2_etaMax1.000_stoppingTime86400.00,521362.0,ails2_etaMax1.000_stoppingTime86400.00,521358.0,4.0,82817.24853491783
14,ails2_etaMax1.000_stoppingTime86400.00,521358.0,ails2_etaMax1.000_stoppingTime86400.00,521355.0,3.0,86418.3972465992
15,ails2_etaMax1.000_stoppingTime86400.00,521355.0,ails2_etaMax1.000_stoppingTime432000.00,521317.0,38.0,295224.29206848145
16,ails2_etaMax1.000_stoppingTime432000.00,521317.0,HGS-TV,521310.0,7.0,298824.54105329514
17,HGS-TV,521310.0,HGS-TV,521301.0,9.0,302425.10946178436
18,HGS-TV,521301.0,ails2_etaMax1.000_stoppingTime432000.00,521295.0,6.0,306025.7252178192
19,ails2_etaMax1.000_stoppingTime432000.00,521295.0,ails2_etaMax1.000_stoppingTime432000.00,521290.0,5.0,309626.27734375
20,ails2_etaMax1.000_stoppingTime432000.00,521290.0,ails2_etaMax1.000_stoppingTime432000.00,521282.0,8.0,313226.88707995415
21,ails2_etaMax1.000_stoppingTime432000.00,521282.0,HGS-TV,521276.0,6.0,316827.4449930191
22,HGS-TV,521276.0,HGS-TV,521269.0,7.0,320428.0348391533
23,HGS-TV,521269.0,ails2_etaMax1.000_stoppingTime432000.00,521268.0,1.0,327628.6527788639
24,ails2_etaMax1.000_stoppingTime432000.00,521268.0,HGS-TV,521261.0,7.0,334829.23877477646
25,HGS-TV,521261.0,ails2_etaMax1.000_stoppingTime432000.00,521258.0,3.0,367230.59758234024
26,ails2_etaMax1.000_stoppingTime432000.00,521258.0,HGS-TV,521254.0,4.0,370831.2087562084
27,HGS-TV,521254.0,ails2_etaMax1.000_stoppingTime864000.00,521238.0,16.0,702087.0206358433
28,ails2_etaMax1.000_stoppingTime864000.00,521238.0,ails2_etaMax1.000_stoppingTime864000.00,521231.0,7.0,716489.5130636692
29,ails2_etaMax1.000_stoppingTime864000.00,521231.0,ails2_etaMax0.005_stoppingTime86400.00,521225.0,6.0,720090.172214508
30,ails2_etaMax0.005_stoppingTime86400.00,521225.0,HGS-TV,521223.0,2.0,723690.8049225807
31,HGS-TV,521223.0,ails2_etaMax0.005_stoppingTime86400.00,521211.0,12.0,727291.3700051308
32,ails2_etaMax0.005_stoppingTime86400.00,521211.0,HGS-TV,521204.0,7.0,730892.0469586849
33,HGS-TV,521204.0,HGS-TV,521199.0,5.0,734492.623051405
34,HGS-TV,521199.0,HGS-TV,521198.0,1.0,738093.1525540352
35,HGS-TV,521198.0,ails2_etaMax0.005_stoppingTime86400.00,521186.0,12.0,813705.4827232361
36,ails2_etaMax0.005_stoppingTime86400.00,521186.0,HGS-TV,521179.0,7.0,817306.1350615025
37,HGS-TV,521179.0,ails2_etaMax0.005_stoppingTime86400.00,521178.0,1.0,860513.2768769264
38,ails2_etaMax0.005_stoppingTime86400.00,521178.0,HGS-TV,521177.0,1.0,871315.2702901363
39,HGS-TV,521177.0,ails2_etaMax1.000_stoppingTime1728000.00,521163.0,14.0,1090956.501250267
40,ails2_etaMax1.000_stoppingTime1728000.00,521163.0,HGS-TV,521120.0,43.0,1094557.2330601215
41,HGS-TV,521120.0,HGS-TV,521097.0,23.0,1098157.8536486626
42,HGS-TV,521097.0,HGS-TV,521082.0,15.0,1101758.4952976704
43,HGS-TV,521082.0,HGS-TV,521079.0,3.0,1105359.3674263954
