id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_etaMax0.005_stoppingTime86400.00,174366.0,ails2_etaMax0.005_stoppingTime86400.00,174320.0,46.0,7201.758667469025
2,ails2_etaMax0.005_stoppingTime86400.00,174320.0,ails2_etaMax0.005_stoppingTime86400.00,174300.0,20.0,10802.953676462173
3,ails2_etaMax0.005_stoppingTime86400.00,174300.0,ails2_eoh_acc_large,174249.0,51.0,14404.16168498993
4,ails2_eoh_acc_large,174249.0,ails2_eoh_acc_large,174245.0,4.0,18005.078112840652
5,ails2_eoh_acc_large,174245.0,ails2_eoh_acc_large,174241.0,4.0,21606.509650707245
6,ails2_eoh_acc_large,174241.0,ails2_etaMax0.020_stoppingTime86400.00,174208.0,33.0,25207.412665605545
7,ails2_etaMax0.020_stoppingTime86400.00,174208.0,ails2_eoh_acc_large,174188.0,20.0,28808.604855775833
8,ails2_eoh_acc_large,174188.0,ails2_etaMax0.005_stoppingTime86400.00,174176.0,12.0,32409.49013352394
9,ails2_etaMax0.005_stoppingTime86400.00,174176.0,ails2_eoh_acc_large,174167.0,9.0,36010.56579494476
10,ails2_eoh_acc_large,174167.0,ails2_eoh_acc_large,174161.0,6.0,39612.148037433624
11,ails2_eoh_acc_large,174161.0,ails2_eoh_acc_large,174160.0,1.0,43213.35774898529
12,ails2_eoh_acc_large,174160.0,ails2_etaMax1.000_stoppingTime86400.00,174083.0,77.0,54015.245574474335
13,ails2_etaMax1.000_stoppingTime86400.00,174083.0,ails2_etaMax0.005_stoppingTime86400.00,173918.0,165.0,57616.51353144646
14,ails2_etaMax0.005_stoppingTime86400.00,173918.0,ails2_eoh_acc_large,173899.0,19.0,61217.733592033386
15,ails2_eoh_acc_large,173899.0,ails2_etaMax1.000_stoppingTime86400.00,173877.0,22.0,64818.69299077988
16,ails2_etaMax1.000_stoppingTime86400.00,173877.0,ails2_eoh_acc_large,173833.0,44.0,68421.08286881447
17,ails2_eoh_acc_large,173833.0,ails2_eoh_acc_large,173832.0,1.0,72022.3896780014
18,ails2_eoh_acc_large,173832.0,ails2_etaMax1.000_stoppingTime86400.00,173821.0,11.0,79223.35396385193
19,ails2_etaMax1.000_stoppingTime86400.00,173821.0,ails2_etaMax1.000_stoppingTime86400.00,173815.0,6.0,82824.4345190525
20,ails2_etaMax1.000_stoppingTime86400.00,173815.0,ails2_eoh_acc_large,173809.0,6.0,86425.64178657532
21,ails2_eoh_acc_large,173809.0,ails2_etaMax0.005_stoppingTime86400.00,173808.0,1.0,115226.89081406593
22,ails2_etaMax0.005_stoppingTime86400.00,173808.0,HGS-TV,173802.0,6.0,118827.5708720684
