id,seed_algo,seed_score,winner_algo,winner_score,improvement,recording_time
1,ails2_eoh_acc_large,32735.0,ails2_eoh_acc,32697.0,38.0,7200.625707387924
2,ails2_eoh_acc,32697.0,HGS-TV,32669.0,28.0,10801.117651939392
3,HGS-TV,32669.0,ails2_eoh_acc,32658.0,11.0,14401.520118236542
4,ails2_eoh_acc,32658.0,HGS-TV,32655.0,3.0,25202.127616405487
5,HGS-TV,32655.0,ails2_eoh_acc_large,32653.0,2.0,28802.622105121613
6,ails2_eoh_acc_large,32653.0,ails2_eoh_acc,32649.0,4.0,32403.14173555374
7,ails2_eoh_acc,32649.0,HGS-TV,32639.0,10.0,46803.93864798546
8,HGS-TV,32639.0,HGS-TV,32626.0,13.0,50404.48166370392
9,HGS-TV,32626.0,HGS-TV,32625.0,1.0,54005.01449918747
10,HGS-TV,32625.0,ails2_etaMax0.005_stoppingTime86400.00,32624.0,1.0,90006.32674241066
11,ails2_etaMax0.005_stoppingTime86400.00,32624.0,HGS-TV,32601.0,23.0,93606.74661850929
12,HGS-TV,32601.0,HGS-TV,32596.0,5.0,97207.10142469406
13,HGS-TV,32596.0,HGS-TV,32594.0,2.0,104407.4462878704
14,HGS-TV,32594.0,ails2_etaMax0.010_stoppingTime432000.00,32593.0,1.0,342013.05449819565
15,ails2_etaMax0.010_stoppingTime432000.00,32593.0,HGS-TV,32592.0,1.0,496821.41470885277
16,HGS-TV,32592.0,ails2_etaMax1.000_stoppingTime864000.00,32587.0,5.0,558026.4094388485
17,ails2_etaMax1.000_stoppingTime864000.00,32587.0,HGS-TV,32585.0,2.0,561626.7905769348
18,HGS-TV,32585.0,warm_start,32584.0,1.0,1029667.7159440517
19,warm_start,32584.0,ails2_etaMax1.000_stoppingTime1728000.00,32580.0,4.0,1108875.9510462284
20,ails2_etaMax1.000_stoppingTime1728000.00,32580.0,HGS-TV,32576.0,4.0,1112476.3884243965
21,HGS-TV,32576.0,HGS-TV,32574.0,2.0,1116076.761678934
