Instance File Name,n (from file),k (Vehicles),n (raw script arg),Depot Positioning,Customer Positioning,Demand Distribution,Average Route Size,Seed,Mahdi_baseline,AILSII_perturbation2_5d,AILSII_deco_5d
XLTEST-n3888-k548,3888,548,3887,2,1,5,2,208136,0.0,0.022700575007768887,0.05267414977530838
XLTEST-n3975-k489,3975,489,3974,2,2,2,3,465619,0.0,0.048324703921918705,0.05260965303814795
XLTEST-n4063-k944,4063,944,4062,1,3,6,1,750450,0.0,0.09257302595799137,0.08806773384879596
XLTEST-n4153-k218,4153,218,4152,3,1,4,5,707633,0.0,0.14769976462967566,0.1856717268029004
XLTEST-n4245-k164,4245,164,4244,1,3,1,6,948671,0.0,-0.0015597217456405777,0.015077310207858918
XLTEST-n4340-k33,4340,33,4339,3,2,3,7,954138,0.0,0.04992582448933014,0.007132260641332876
XLTEST-n4436-k335,4436,335,4435,2,1,7,4,483857,0.0,0.05348108374068092,0.027810163545154077
XLTEST-n4535-k1092,4535,1092,4534,3,3,6,1,660658,0.0,0.08456485386270726,0.07798417068939115
XLTEST-n4635-k313,4635,313,4634,1,2,2,4,820929,0.0,0.012457711907626066,0.3130000116791049
XLTEST-n4738-k456,4738,456,4737,2,1,5,3,872480,0.0,0.07383300649573366,0.09504035942535928
XLTEST-n4844-k45,4844,45,4843,2,1,4,7,196479,0.0,-0.15688735487919672,-0.31526887504295725
XLTEST-n4951-k225,4951,225,4950,3,2,1,5,732593,0.0,0.003125463936053008,0.07943887504134728
XLTEST-n5061-k951,5061,951,5060,1,3,7,2,171510,0.0,-0.024009135476048635,-0.04261621546998633
XLTEST-n5174-k170,5174,170,5173,3,3,3,6,702001,0.0,0.04278724613444994,0.06859024189491975
XLTEST-n5288-k482,5288,482,5287,1,1,2,3,354828,0.0,0.03353721458188709,0.36632957466368976
XLTEST-n5406-k29,5406,29,5405,2,2,3,7,797541,0.0,0.011367511651699443,0.32511083323860407
XLTEST-n5526-k321,5526,321,5525,1,3,4,5,960019,0.0,0.21696595260387175,0.2018287931198807
XLTEST-n5649-k365,5649,365,5648,3,1,5,4,131566,0.0,0.11994496443216154,0.14437505619769372
XLTEST-n5774-k885,5774,885,5773,2,2,7,2,337399,0.0,0.017395751868184803,0.34390063308642266
XLTEST-n5902-k126,5902,126,5901,2,1,1,6,123789,0.0,-0.023620307368773956,0.05943174112143124
XLTEST-n6034-k1234,6034,1234,6033,1,3,6,1,947493,0.0,0.021797133273323943,0.06337314673910849
XLTEST-n6168-k554,6168,554,6167,3,2,4,3,949838,0.0,0.03578091023382825,0.06554412192833084
XLTEST-n6305-k58,6305,58,6304,3,1,6,7,637579,0.0,-0.10951658567847553,0.15656815582182057
XLTEST-n6445-k189,6445,189,6444,2,2,5,6,910033,0.0,0.05472802550801884,0.058297244562889636
XLTEST-n6588-k267,6588,267,6587,1,3,3,5,503336,0.0,0.016867673104495235,-0.006247286334998234
XLTEST-n6734-k1123,6734,1123,6733,2,1,1,2,410580,0.0,-0.0015639854370613161,0.018097545771709515
XLTEST-n6884-k434,6884,434,6883,1,3,2,4,994203,0.0,0.05430294944334393,0.50743767363724
XLTEST-n7037-k2302,7037,2302,7036,3,2,7,1,829690,0.0,-0.048683306057077824,-0.053114361458680114
XLTEST-n7193-k157,7193,157,7192,1,3,6,6,190612,0.0,0.0017559159735676115,0.006438358569747909
XLTEST-n7353-k77,7353,77,7352,2,2,1,7,298281,0.0,0.018860332947744304,0.013830910828345824
XLTEST-n7516-k1223,7516,1223,7515,3,1,4,2,523732,0.0,0.1274831732682183,0.6941681291019739
XLTEST-n7683-k1624,7683,1624,7682,1,3,2,1,529703,0.0,0.004283641309294966,0.15748331313477465
XLTEST-n7854-k395,7854,395,7853,3,1,7,5,730877,0.0,0.045116387660194726,0.029341426939846923
XLTEST-n8028-k986,8028,986,8027,2,2,5,3,621352,0.0,0.043136788242993995,0.0405337061938478
XLTEST-n8207-k649,8207,649,8206,1,3,3,4,736286,0.0,0.03239927255355931,0.010405605783624887
XLTEST-n8389-k1106,8389,1106,8388,3,1,4,2,760372,0.0,0.16766065897027693,0.17807829689462298
XLTEST-n8575-k343,8575,343,8574,2,2,5,5,939105,0.0,0.02203775802541688,0.3815556928714334
XLTEST-n8766-k154,8766,154,8765,3,2,1,7,928643,0.0,-0.00397622219129605,0.05288375514423746
XLTEST-n8960-k2144,8960,2144,8959,2,3,7,1,859376,0.0,0.017716311595909716,-0.06132178913426629
XLTEST-n9160-k364,9160,364,9159,1,1,3,6,999448,0.0,0.012968942679471483,0.18112557233702545
XLTEST-n9363-k744,9363,744,9362,1,2,2,4,745341,0.0,0.00022929652971167107,0.031528272835354774
XLTEST-n9571-k980,9571,980,9570,3,3,6,3,260198,0.0,0.11588516486061794,0.10662023416744672
XLTEST-n9784-k890,9784,890,9783,2,1,1,3,602412,0.0,0.002347592888726859,0.017814087214456754
XLTEST-n10001-k806,10001,806,10000,2,1,2,4,777357,0.0,0.050579069406061564,0.06581372886571867
