algo_name,seed_count
ails2_etaMax0.020_stoppingTime86400.00,1
ails2_eoh_acc,5
ails2_etaMax0.005_stoppingTime86400.00,2
ails2_eoh_acc_large,7
ails2_etaMax1.000_stoppingTime86400.00,1
ails2_etaMax1.000_stoppingTime432000.00,2
HGS-TV,16
ails2_etaMax1.000_stoppingTime864000.00,6
warm_start,1
