id,algo_name,score,runningtime
1,HGS-TV,240529.0,60.01187801361084
2,ails2_etaMax1.000_stoppingTime432000.00,236942.0,35.7984052734375
3,ails2_etaMax1.000_stoppingTime86400.00,237102.0,64.1214052734375
4,ails2_etaMax0.005_stoppingTime86400.00,234532.0,63.4714052734375
5,ails2_eoh_omega2,234670.0,65.0154052734375
6,ails2_eoh_acc_large,234604.0,62.9404052734375
7,ails2_eoh_acc,234696.0,64.8084052734375
8,ails2_etaMax0.020_stoppingTime86400.00,234831.0,61.0804052734375
9,ails2_etaMax1.000_stoppingTime864000.00,236882.0,46.8454052734375
10,ails2_etaMax1.000_stoppingTime1728000.00,237009.0,52.8724052734375
11,ails2_etaMax0.010_stoppingTime432000.00,234819.0,64.2154052734375
12,HGS-TV,238817.0,120.05159640312195
13,ails2_etaMax0.005_stoppingTime86400.00,234467.0,125.7704052734375
14,ails2_etaMax1.000_stoppingTime1728000.00,236771.0,88.1204052734375
15,ails2_eoh_omega2,234376.0,120.0214052734375
16,ails2_eoh_acc_large,234235.0,123.7844052734375
17,ails2_eoh_acc,234415.0,122.5674052734375
18,ails2_etaMax1.000_stoppingTime86400.00,237022.0,105.9674052734375
19,ails2_etaMax1.000_stoppingTime432000.00,236609.0,82.5324052734375
20,ails2_etaMax0.020_stoppingTime86400.00,234434.0,117.3154052734375
21,ails2_etaMax0.010_stoppingTime432000.00,234568.0,122.7994052734375
22,HGS-TV,238397.0,180.2277808189392
23,ails2_eoh_omega2,234201.0,182.5094052734375
24,ails2_eoh_acc,234130.0,186.1984052734375
25,ails2_etaMax0.005_stoppingTime86400.00,234436.0,168.2234052734375
26,ails2_eoh_acc_large,234176.0,146.3354052734375
27,ails2_etaMax1.000_stoppingTime86400.00,236725.0,137.3734052734375
28,ails2_etaMax0.020_stoppingTime86400.00,234355.0,185.1144052734375
29,ails2_etaMax0.010_stoppingTime432000.00,234407.0,174.3804052734375
30,ails2_etaMax1.000_stoppingTime864000.00,236878.0,203.0804052734375
31,HGS-TV,238289.0,240.37351322174072
32,ails2_etaMax0.005_stoppingTime86400.00,234430.0,240.1434052734375
33,ails2_eoh_omega2,234141.0,241.9194052734375
34,ails2_eoh_acc_large,234094.0,241.1494052734375
35,ails2_etaMax0.020_stoppingTime86400.00,234309.0,247.6674052734375
36,ails2_eoh_acc,234063.0,247.0054052734375
37,ails2_etaMax0.010_stoppingTime432000.00,234319.0,243.3124052734375
38,filo2,240563.0,252.79461574554443
39,ails2_etaMax1.000_stoppingTime864000.00,236487.0,203.9264052734375
40,ails2_etaMax1.000_stoppingTime86400.00,236670.0,287.9254052734375
41,HGS-TV,238201.0,300.42338037490845
42,ails2_etaMax0.020_stoppingTime86400.00,234137.0,300.4314052734375
43,ails2_eoh_acc_large,234071.0,305.6014052734375
44,ails2_eoh_omega2,234121.0,302.5474052734375
45,ails2_etaMax0.005_stoppingTime86400.00,234416.0,307.8304052734375
46,ails2_eoh_acc,234015.0,298.6324052734375
47,ails2_etaMax0.010_stoppingTime432000.00,234262.0,303.1374052734375
48,filo2,240023.0,312.9433481693268
49,HGS-TV,238141.0,360.457891702652
50,ails2_eoh_omega2,234095.0,359.4064052734375
51,ails2_etaMax0.020_stoppingTime86400.00,234077.0,366.4784052734375
52,ails2_eoh_acc_large,234041.0,367.8874052734375
53,ails2_eoh_acc,234012.0,321.5804052734375
54,ails2_etaMax0.010_stoppingTime432000.00,234254.0,370.7094052734375
55,filo2,239733.0,372.98678040504456
56,ails2_etaMax0.005_stoppingTime86400.00,234415.0,410.1544052734375
57,HGS-TV,238022.0,420.71271991729736
58,ails2_etaMax0.020_stoppingTime86400.00,234044.0,423.7264052734375
59,ails2_eoh_omega2,234092.0,427.3864052734375
60,ails2_etaMax0.010_stoppingTime432000.00,234239.0,389.2804052734375
61,ails2_eoh_acc_large,234040.0,435.0114052734375
62,ails2_etaMax0.005_stoppingTime86400.00,234413.0,410.2474052734375
63,HGS-TV,237885.0,480.7349555492401
64,ails2_eoh_omega2,234028.0,491.2114052734375
65,ails2_etaMax0.020_stoppingTime86400.00,234033.0,468.3464052734375
66,ails2_eoh_acc,234011.0,492.3194052734375
67,ails2_etaMax0.010_stoppingTime432000.00,234236.0,458.5054052734375
68,ails2_eoh_acc_large,234030.0,494.5124052734375
69,ails2_etaMax1.000_stoppingTime1728000.00,236686.0,528.7164052734375
70,ails2_etaMax0.005_stoppingTime86400.00,234396.0,491.2884052734375
71,HGS-TV,237841.0,546.899570941925
72,ails2_eoh_omega2,233989.0,536.5664052734375
73,ails2_etaMax0.020_stoppingTime86400.00,234032.0,519.8754052734375
74,ails2_eoh_acc,234007.0,517.4354052734375
75,ails2_etaMax0.010_stoppingTime432000.00,234171.0,541.9664052734375
76,ails2_eoh_acc_large,234014.0,514.8224052734375
77,ails2_etaMax1.000_stoppingTime1728000.00,236640.0,557.5414052734375
78,ails2_etaMax0.005_stoppingTime86400.00,234390.0,535.2384052734375
79,ails2_etaMax0.020_stoppingTime86400.00,233947.0,613.6544052734375
80,ails2_eoh_acc,234006.0,613.1874052734375
81,ails2_etaMax0.010_stoppingTime432000.00,234152.0,613.8154052734375
82,ails2_eoh_acc_large,234012.0,568.0614052734375
83,ails2_eoh_omega2,233988.0,629.1384052734375
84,ails2_etaMax1.000_stoppingTime432000.00,236563.0,640.8224052734375
85,ails2_etaMax1.000_stoppingTime86400.00,236642.0,641.5564052734375
86,ails2_etaMax0.005_stoppingTime86400.00,234386.0,645.5764052734374
87,HGS-TV,237771.0,670.2070960998535
88,ails2_eoh_acc,233949.0,674.1934052734375
89,ails2_etaMax0.020_stoppingTime86400.00,233930.0,657.1634052734375
90,ails2_etaMax0.010_stoppingTime432000.00,234142.0,653.5484052734375
91,ails2_eoh_acc_large,234006.0,663.9904052734375
92,ails2_eoh_omega2,233956.0,689.5334052734376
93,ails2_etaMax1.000_stoppingTime432000.00,236553.0,640.8484052734375
94,ails2_etaMax1.000_stoppingTime86400.00,236584.0,641.5894052734375
95,ails2_etaMax0.005_stoppingTime86400.00,234378.0,719.1654052734375
96,HGS-TV,237702.0,730.2449495792389
97,ails2_eoh_acc,233916.0,726.1014052734375
98,ails2_eoh_acc_large,233988.0,695.1204052734375
99,ails2_eoh_omega2,233949.0,695.2404052734375
100,ails2_etaMax1.000_stoppingTime432000.00,236490.0,713.1074052734375
101,ails2_etaMax0.010_stoppingTime432000.00,234140.0,773.1064052734375
102,ails2_etaMax0.005_stoppingTime86400.00,234341.0,764.2694052734375
103,HGS-TV,237580.0,790.4680743217468
104,ails2_eoh_omega2,233945.0,790.2964052734375
105,ails2_eoh_acc,233913.0,816.7374052734375
106,ails2_etaMax1.000_stoppingTime1728000.00,236638.0,827.6604052734375
107,ails2_etaMax0.010_stoppingTime432000.00,234125.0,826.5764052734374
108,ails2_etaMax0.005_stoppingTime86400.00,234275.0,840.5894052734375
109,ails2_etaMax0.010_stoppingTime432000.00,234116.0,893.3674052734375
110,HGS-TV,237566.0,895.8145620822906
111,ails2_etaMax0.005_stoppingTime86400.00,234254.0,867.5324052734375
112,ails2_eoh_acc_large,233985.0,934.4034052734376
113,ails2_etaMax0.020_stoppingTime86400.00,233918.0,952.8044052734375
114,HGS-TV,237413.0,955.835973739624
115,ails2_etaMax0.010_stoppingTime432000.00,234111.0,917.0104052734375
116,ails2_etaMax0.005_stoppingTime86400.00,234239.0,962.2264052734375
117,ails2_eoh_acc,233912.0,965.7244052734375
118,ails2_etaMax1.000_stoppingTime1728000.00,236596.0,993.5234052734374
119,ails2_eoh_acc_large,233981.0,953.7224052734375
120,ails2_etaMax0.020_stoppingTime86400.00,233890.0,970.1944052734375
121,HGS-TV,237393.0,1015.8976640701294
122,ails2_etaMax0.010_stoppingTime432000.00,234103.0,1006.3614052734375
123,ails2_etaMax0.005_stoppingTime86400.00,234200.0,1005.4654052734375
124,ails2_eoh_acc,233908.0,990.2524052734375
125,ails2_etaMax1.000_stoppingTime86400.00,236574.0,1054.2214052734375
126,ails2_eoh_acc_large,233955.0,1048.9844052734375
127,ails2_eoh_omega2,233944.0,1066.3824052734376
128,ails2_etaMax0.020_stoppingTime86400.00,233851.0,1070.7784052734376
129,HGS-TV,237195.0,1075.9057943820953
130,ails2_eoh_acc,233907.0,1084.2824052734375
131,ails2_etaMax0.005_stoppingTime86400.00,234194.0,1109.7564052734374
132,ails2_etaMax1.000_stoppingTime86400.00,236569.0,1054.2574052734376
133,ails2_eoh_acc_large,233945.0,1106.1644052734375
134,ails2_eoh_omega2,233940.0,1090.2574052734376
135,ails2_etaMax0.020_stoppingTime86400.00,233844.0,1136.1984052734374
136,ails2_eoh_acc,233849.0,1144.6514052734376
137,ails2_etaMax0.005_stoppingTime86400.00,234141.0,1167.0004052734375
138,HGS-TV,237000.0,1174.1701657772064
139,ails2_eoh_acc_large,233935.0,1171.6624052734376
140,ails2_etaMax0.020_stoppingTime86400.00,233810.0,1163.8184052734375
141,ails2_eoh_acc,233822.0,1201.2764052734376
142,ails2_etaMax0.005_stoppingTime86400.00,234096.0,1212.0684052734375
143,HGS-TV,236985.0,1234.223947763443
144,ails2_eoh_acc_large,233889.0,1239.0644052734374
145,ails2_etaMax1.000_stoppingTime864000.00,236429.0,1241.6164052734375
146,ails2_eoh_acc,233795.0,1243.0934052734376
147,ails2_etaMax0.020_stoppingTime86400.00,233808.0,1287.5004052734375
148,ails2_etaMax0.005_stoppingTime86400.00,234094.0,1271.4014052734376
149,ails2_eoh_acc_large,233829.0,1296.2854052734374
150,HGS-TV,236965.0,1316.2550938129425
151,ails2_etaMax0.020_stoppingTime86400.00,233796.0,1305.8454052734376
152,ails2_etaMax0.005_stoppingTime86400.00,234073.0,1311.1704052734376
153,ails2_eoh_acc_large,233784.0,1343.6834052734375
154,HGS-TV,236927.0,1376.473649263382
155,ails2_etaMax0.020_stoppingTime86400.00,233778.0,1397.1514052734376
156,HGS-TV,236894.0,1436.627387046814
157,ails2_etaMax0.020_stoppingTime86400.00,233771.0,1418.3854052734375
158,HGS-TV,236792.0,1496.6806263923645
159,ails2_eoh_acc_large,233767.0,1518.3344052734376
160,ails2_etaMax1.000_stoppingTime86400.00,236544.0,1557.7814052734375
161,ails2_eoh_acc_large,233763.0,1570.6354052734375
162,ails2_eoh_acc,233781.0,1587.3444052734376
163,ails2_etaMax1.000_stoppingTime86400.00,236477.0,1627.4194052734374
164,ails2_etaMax0.020_stoppingTime86400.00,233769.0,1635.6964052734374
165,ails2_etaMax0.010_stoppingTime432000.00,234102.0,1638.0474052734376
166,ails2_eoh_acc_large,233718.0,1637.7394052734376
167,ails2_eoh_acc,233758.0,1600.6644052734375
